phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,37,1,1,1,NA,NA,empty.png,13.png,0,None,None,None,None
trials,37,1,2,1,1,negative,14.png,9432.JPG,0,None,None,None,None
trials,37,1,3,1,NA,NA,15.png,27.png,0,None,None,None,None
trials,37,1,4,1,NA,NA,2.png,empty.png,0,None,None,None,None
trials,37,1,5,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,6,1,1,neutral,7.png,7004.JPG,0,None,None,None,None
trials,37,1,7,1,1,negative,9.png,3300.JPG,0,None,None,None,None
trials,37,1,8,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,9,1,NA,NA,22.png,19.png,0,None,None,None,None
trials,37,1,10,1,1,negative,3.png,2276.JPG,0,None,None,None,None
trials,37,1,11,1,NA,NA,6.png,empty.png,0,None,None,None,None
trials,37,1,12,1,1,positive,24.png,1590.JPG,0,None,None,None,None
trials,37,1,13,1,1,negative,20.png,2900.1.JPG,0,None,None,None,None
trials,37,1,14,1,1,neutral,12.png,7006.JPG,0,None,None,None,None
trials,37,1,15,1,NA,NA,empty.png,5660.JPG,0,None,None,None,None
trials,37,1,16,1,NA,NA,5780.JPG,5720.JPG,0,None,None,None,None
trials,37,1,17,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,18,1,1,neutral,8.png,7705.JPG,0,None,None,None,None
trials,37,1,19,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,20,1,1,negative,10.png,2141.JPG,0,None,None,None,None
trials,37,1,21,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,22,1,1,positive,17.png,1721.JPG,0,None,None,None,None
trials,37,1,23,1,1,neutral,23.png,7002.JPG,0,None,None,None,None
trials,37,1,24,1,2,negative,3.png,2276.JPG,0,None,None,None,None
trials,37,1,25,1,2,neutral,7.png,7004.JPG,0,None,None,None,None
trials,37,1,26,1,1,positive,18.png,1750.JPG,0,None,None,None,None
trials,37,1,27,1,NA,NA,5250.JPG,5870.JPG,0,None,None,None,None
trials,37,1,28,1,NA,NA,16.png,25.png,0,None,None,None,None
trials,37,1,29,1,NA,NA,5660.JPG,empty.png,0,None,None,None,None
trials,37,1,30,1,2,positive,17.png,1721.JPG,0,None,None,None,None
trials,37,1,31,1,2,negative,9.png,3300.JPG,0,None,None,None,None
trials,37,1,32,1,NA,NA,empty.png,6.png,0,None,None,None,None
trials,37,1,33,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,34,1,2,negative,10.png,2141.JPG,0,None,None,None,None
trials,37,1,35,1,1,positive,4.png,1500.JPG,0,None,None,None,None
trials,37,1,36,1,2,neutral,23.png,7002.JPG,0,None,None,None,None
trials,37,1,37,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,38,1,1,positive,1.png,1620.JPG,0,None,None,None,None
trials,37,1,39,1,NA,NA,16.png,25.png,0,None,None,None,None
trials,37,1,40,1,1,neutral,11.png,7000.JPG,0,None,None,None,None
trials,37,1,41,1,2,negative,14.png,9432.JPG,0,None,None,None,None
trials,37,1,42,1,2,positive,24.png,1590.JPG,0,None,None,None,None
trials,37,1,43,1,1,neutral,5.png,7233.JPG,0,None,None,None,None
trials,37,1,44,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,45,1,2,neutral,5.png,7233.JPG,0,None,None,None,None
trials,37,1,46,1,3,negative,9.png,3300.JPG,0,None,None,None,None
trials,37,1,47,1,3,neutral,7.png,7004.JPG,0,None,None,None,None
trials,37,1,48,1,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,37,1,49,1,NA,NA,9000.JPG,empty.png,0,None,None,None,None
trials,37,1,50,1,3,neutral,5.png,7233.JPG,0,None,None,None,None
trials,37,1,51,1,2,positive,1.png,1620.JPG,0,None,None,None,None
trials,37,1,52,1,2,neutral,12.png,7006.JPG,0,None,None,None,None
trials,37,1,53,1,3,positive,24.png,1590.JPG,0,None,None,None,None
trials,37,1,54,1,NA,NA,13.png,empty.png,0,None,None,None,None
trials,37,1,55,1,3,neutral,12.png,7006.JPG,0,None,None,None,None
trials,37,1,56,1,1,positive,26.png,1610.JPG,0,None,None,None,None
