phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,35,14.png,negative,positive,17
globalratings,35,20.png,negative,positive,17
globalratings,35,18.png,positive,negative,0
globalratings,35,24.png,positive,negative,8
globalratings,35,23.png,neutral,neutral,11
globalratings,35,9.png,negative,positive,12
globalratings,35,21.png,negative,positive,2
globalratings,35,1.png,positive,negative,15
globalratings,35,17.png,positive,negative,14
globalratings,35,3.png,negative,positive,16
globalratings,35,5.png,neutral,neutral,18
globalratings,35,11.png,neutral,neutral,11
globalratings,35,10.png,negative,positive,13
globalratings,35,8.png,neutral,neutral,16
globalratings,35,26.png,positive,negative,0
globalratings,35,7.png,neutral,neutral,18
globalratings,35,12.png,neutral,neutral,10
globalratings,35,4.png,positive,negative,10
c2ratings,35,23.png,neutral,neutral,18
c2ratings,35,24.png,positive,negative,0
c2ratings,35,1.png,positive,negative,11
c2ratings,35,4.png,positive,negative,9
c2ratings,35,8.png,neutral,neutral,17
c2ratings,35,9.png,negative,positive,17
c2ratings,35,12.png,neutral,neutral,10
c2ratings,35,11.png,neutral,neutral,8
c2ratings,35,5.png,neutral,neutral,17
c2ratings,35,26.png,positive,negative,0
c2ratings,35,3.png,negative,positive,17
c2ratings,35,10.png,negative,positive,14
c2ratings,35,7.png,neutral,neutral,17
c2ratings,35,17.png,positive,negative,8
c2ratings,35,18.png,positive,negative,0
c2ratings,35,21.png,negative,positive,2
c2ratings,35,20.png,negative,positive,17
c2ratings,35,14.png,negative,positive,17
c1ratings,35,20.png,negative,positive,8
c1ratings,35,10.png,negative,positive,8
c1ratings,35,9.png,negative,positive,9
c1ratings,35,14.png,negative,positive,17
c1ratings,35,4.png,positive,negative,12
c1ratings,35,8.png,neutral,neutral,17
c1ratings,35,12.png,neutral,neutral,9
c1ratings,35,21.png,negative,positive,1
c1ratings,35,11.png,neutral,neutral,8
c1ratings,35,18.png,positive,negative,11
c1ratings,35,26.png,positive,negative,16
c1ratings,35,1.png,positive,negative,10
c1ratings,35,5.png,neutral,neutral,18
c1ratings,35,23.png,neutral,neutral,17
c1ratings,35,7.png,neutral,neutral,18
c1ratings,35,17.png,positive,negative,11
c1ratings,35,3.png,negative,positive,8
c1ratings,35,24.png,positive,negative,9
