ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp
5	25	17.568000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	-1	cs2	labor8	2015-03-05_13.06.23.230000
5	31	4.334000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	-1	cs2	labor8	2015-03-05_13.06.23.230000
5	10	5.168000	Issanif	./sounds/cs/ratingcs/nif_9.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	19	2.162000	Falatol	./sounds/cs/ratingcs/tol_4.wav	-1	cs2	labor8	2015-03-05_13.06.23.230000
5	27	2.910000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	26	3.492000	Renetol	./sounds/cs/ratingcs/tol_5.wav	1	target	labor8	2015-03-05_13.06.23.230000
5	20	2.308000	Nenetol	./sounds/cs/ratingcs/tol_19.wav	-1	target	labor8	2015-03-05_13.06.23.230000
5	30	5.962000	Missonif	./sounds/cs/ratingcs/nif_10.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	29	3.638000	Lussanif	./sounds/cs/ratingcs/nif_18.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	20	2.939000	Siritol	./sounds/cs/ratingcs/tol_18.wav	-1	cs2	labor8	2015-03-05_13.06.23.230000
5	10	2.167000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	-1	target	labor8	2015-03-05_13.06.23.230000
5	37	3.307000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	20	1.928000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	-1	target	labor8	2015-03-05_13.06.23.230000
5	27	2.888000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	28	2.296000	Mateelup	./sounds/cs/ratingcs/lup_9.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	24	4.261000	Daanilup	./sounds/cs/ratingcs/lup_17.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	24	2.727000	Wenaalup	./sounds/cs/ratingcs/lup_4.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	26	5.232000	Reretol	./sounds/cs/ratingcs/tol_2.wav	1	cs2	labor8	2015-03-05_13.06.23.230000
5	32	4.016000	Neenolup	./sounds/cs/ratingcs/lup_2.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	29	2.910000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	20	2.436000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	1	cs2	labor8	2015-03-05_13.06.23.230000
5	21	1.931000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	1	target	labor8	2015-03-05_13.06.23.230000
5	17	4.377000	Toleelup	./sounds/cs/ratingcs/lup_5.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	16	3.050000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	25	2.905000	Piditol	./sounds/cs/ratingcs/tol_13.wav	-1	cs2	labor8	2015-03-05_13.06.23.230000
5	19	3.868000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	28	2.066000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	1	cs2	labor8	2015-03-05_13.06.23.230000
5	28	1.872000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	21	11.465000	Sesetol	./sounds/cs/ratingcs/tol_9.wav	1	cs2	labor8	2015-03-05_13.06.23.230000
5	13	2.052000	Deretol	./sounds/cs/ratingcs/tol_12.wav	1	target	labor8	2015-03-05_13.06.23.230000
5	18	2.936000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	1	cs2	labor8	2015-03-05_13.06.23.230000
5	23	2.210000	Allanif	./sounds/cs/ratingcs/nif_7.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	25	2.595000	Istennif	./sounds/cs/ratingcs/nif_20.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	19	2.456000	Reetolup	./sounds/cs/ratingcs/lup_15.wav	0	cs1	labor8	2015-03-05_13.06.23.230000
5	25	2.224000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
5	23	4.549000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	0	cs3	labor8	2015-03-05_13.06.23.230000
