ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp
3	53	5.505000	Baakelup	./sounds/cs/ratingcs/lup_20.wav	-1	cs2	labor2	2015-03-04_13.30.19.150000
3	60	3.618000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	1	cs2	labor2	2015-03-04_13.30.19.150000
3	47	2.777000	Nenetol	./sounds/cs/ratingcs/tol_19.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	39	2.869000	Sesetol	./sounds/cs/ratingcs/tol_9.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	45	3.684000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	-1	cs2	labor2	2015-03-04_13.30.19.150000
3	63	3.525000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	44	3.242000	Wenaalup	./sounds/cs/ratingcs/lup_4.wav	1	target	labor2	2015-03-04_13.30.19.150000
3	24	3.277000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	72	2.563000	Allanif	./sounds/cs/ratingcs/nif_7.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	14	2.380000	Daanilup	./sounds/cs/ratingcs/lup_17.wav	-1	target	labor2	2015-03-04_13.30.19.150000
3	55	2.186000	Mateelup	./sounds/cs/ratingcs/lup_9.wav	1	cs2	labor2	2015-03-04_13.30.19.150000
3	68	2.718000	Bollanif	./sounds/cs/ratingcs/nif_8.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	39	2.203000	Befetol	./sounds/cs/ratingcs/tol_14.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	80	2.272000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	-1	target	labor2	2015-03-04_13.30.19.150000
3	57	2.022000	Issanif	./sounds/cs/ratingcs/nif_9.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	23	2.302000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	45	2.533000	Siritol	./sounds/cs/ratingcs/tol_18.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	33	2.507000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	44	3.144000	Spanatol	./sounds/cs/ratingcs/tol_16.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	60	2.625000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	38	2.966000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	48	1.873000	Falatol	./sounds/cs/ratingcs/tol_4.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	75	2.817000	Deretol	./sounds/cs/ratingcs/tol_12.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	29	2.063000	Saartelup	./sounds/cs/ratingcs/lup_10.wav	1	cs2	labor2	2015-03-04_13.30.19.150000
3	45	1.725000	Missonif	./sounds/cs/ratingcs/nif_10.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	39	4.045000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	1	target	labor2	2015-03-04_13.30.19.150000
3	11	3.062000	Tesoolup	./sounds/cs/ratingcs/lup_13.wav	1	cs2	labor2	2015-03-04_13.30.19.150000
3	42	2.971000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	1	cs2	labor2	2015-03-04_13.30.19.150000
3	54	3.177000	Zackatol	./sounds/cs/ratingcs/tol_17.wav	0	cs1	labor2	2015-03-04_13.30.19.150000
3	63	2.722000	Koleelup	./sounds/cs/ratingcs/lup_16.wav	-1	cs2	labor2	2015-03-04_13.30.19.150000
3	55	2.420000	Daanalup	./sounds/cs/ratingcs/lup_12.wav	-1	target	labor2	2015-03-04_13.30.19.150000
3	42	3.196000	Istennif	./sounds/cs/ratingcs/nif_20.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	19	2.436000	Unoolup	./sounds/cs/ratingcs/lup_18.wav	-1	cs2	labor2	2015-03-04_13.30.19.150000
3	42	2.453000	Eekalup	./sounds/cs/ratingcs/lup_11.wav	1	target	labor2	2015-03-04_13.30.19.150000
3	52	2.060000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	0	cs3	labor2	2015-03-04_13.30.19.150000
3	70	2.494000	Omeelup	./sounds/cs/ratingcs/lup_3.wav	-1	cs2	labor2	2015-03-04_13.30.19.150000
