ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp
2	11	6.932000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	20	5.217000	Reretol	./sounds/cs/ratingcs/tol_2.wav	-1	cs2	labor2	2015-03-04_11.08.49.598000
2	44	3.400000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	1	target	labor2	2015-03-04_11.08.49.598000
2	12	3.420000	Baakelup	./sounds/cs/ratingcs/lup_20.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	10	4.369000	Lussanif	./sounds/cs/ratingcs/nif_18.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	8	7.736000	Sesetol	./sounds/cs/ratingcs/tol_9.wav	-1	cs2	labor2	2015-03-04_11.08.49.598000
2	12	4.884000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	1	3.534000	Mateelup	./sounds/cs/ratingcs/lup_9.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	14	3.867000	Spanatol	./sounds/cs/ratingcs/tol_16.wav	1	cs2	labor2	2015-03-04_11.08.49.598000
2	16	2.677000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	1	target	labor2	2015-03-04_11.08.49.598000
2	12	2.988000	Deretol	./sounds/cs/ratingcs/tol_12.wav	-1	cs2	labor2	2015-03-04_11.08.49.598000
2	20	3.617000	Omeelup	./sounds/cs/ratingcs/lup_3.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	14	3.430000	Renetol	./sounds/cs/ratingcs/tol_5.wav	1	cs2	labor2	2015-03-04_11.08.49.598000
2	9	3.264000	Istennif	./sounds/cs/ratingcs/nif_20.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	10	3.764000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	1	cs2	labor2	2015-03-04_11.08.49.598000
2	13	13.288000	Koleelup	./sounds/cs/ratingcs/lup_16.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	17	5.051000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	20	3.032000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	14	5.328000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	-1	cs2	labor2	2015-03-04_11.08.49.598000
2	20	7.170000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	10	7.020000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	1	target	labor2	2015-03-04_11.08.49.598000
2	42	6.165000	Nenetol	./sounds/cs/ratingcs/tol_19.wav	-1	cs2	labor2	2015-03-04_11.08.49.598000
2	13	3.824000	Wenaalup	./sounds/cs/ratingcs/lup_4.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	10	8.370000	Bollanif	./sounds/cs/ratingcs/nif_8.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	14	9.340000	Neenolup	./sounds/cs/ratingcs/lup_2.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	19	3.475000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	12	3.153000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	-1	target	labor2	2015-03-04_11.08.49.598000
2	20	2.957000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	11	3.657000	Falatol	./sounds/cs/ratingcs/tol_4.wav	1	cs2	labor2	2015-03-04_11.08.49.598000
2	12	2.639000	Siritol	./sounds/cs/ratingcs/tol_18.wav	1	cs2	labor2	2015-03-04_11.08.49.598000
2	14	5.086000	Daanilup	./sounds/cs/ratingcs/lup_17.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	10	4.215000	Saartelup	./sounds/cs/ratingcs/lup_10.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	20	2.965000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	-1	target	labor2	2015-03-04_11.08.49.598000
2	15	3.743000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	0	cs1	labor2	2015-03-04_11.08.49.598000
2	11	3.212000	Allanif	./sounds/cs/ratingcs/nif_7.wav	0	cs3	labor2	2015-03-04_11.08.49.598000
2	24	3.336000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	-1	target	labor2	2015-03-04_11.08.49.598000
