ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp
4	70	13.611000	Sesetol	./sounds/cs/ratingcs/tol_9.wav	1	target	labor8	2015-03-04_13.34.51.390000
4	50	8.514000	Nenetol	./sounds/cs/ratingcs/tol_19.wav	-1	cs2	labor8	2015-03-04_13.34.51.390000
4	80	10.066000	Bollanif	./sounds/cs/ratingcs/nif_8.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	50	6.242000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	-1	target	labor8	2015-03-04_13.34.51.390000
4	39	9.619000	Istennif	./sounds/cs/ratingcs/nif_20.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	80	11.660000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	40	12.175000	Mateelup	./sounds/cs/ratingcs/lup_9.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	40	9.962000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	-1	cs2	labor8	2015-03-04_13.34.51.390000
4	70	9.247000	Piditol	./sounds/cs/ratingcs/tol_13.wav	-1	target	labor8	2015-03-04_13.34.51.390000
4	60	3.972000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	1	target	labor8	2015-03-04_13.34.51.390000
4	60	5.597000	Spanatol	./sounds/cs/ratingcs/tol_16.wav	-1	cs2	labor8	2015-03-04_13.34.51.390000
4	39	8.682000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	70	8.055000	Daanilup	./sounds/cs/ratingcs/lup_17.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	40	8.021000	Befetol	./sounds/cs/ratingcs/tol_14.wav	1	cs2	labor8	2015-03-04_13.34.51.390000
4	39	5.377000	Missonif	./sounds/cs/ratingcs/nif_10.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	70	5.010000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	1	cs2	labor8	2015-03-04_13.34.51.390000
4	60	12.464000	Reetolup	./sounds/cs/ratingcs/lup_15.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	70	5.251000	Moteelup	./sounds/cs/ratingcs/lup_19.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	50	4.988000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	1	cs2	labor8	2015-03-04_13.34.51.390000
4	80	10.841000	Zackatol	./sounds/cs/ratingcs/tol_17.wav	1	cs2	labor8	2015-03-04_13.34.51.390000
4	60	7.135000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	60	7.172000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	1	target	labor8	2015-03-04_13.34.51.390000
4	70	3.948000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	-1	target	labor8	2015-03-04_13.34.51.390000
4	50	7.951000	Renetol	./sounds/cs/ratingcs/tol_5.wav	1	cs2	labor8	2015-03-04_13.34.51.390000
4	40	7.285000	Toleelup	./sounds/cs/ratingcs/lup_5.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	40	11.201000	Koleelup	./sounds/cs/ratingcs/lup_16.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	50	5.206000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	60	6.787000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	60	4.265000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	50	5.228000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	0	cs1	labor8	2015-03-04_13.34.51.390000
4	50	6.764000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	-1	cs2	labor8	2015-03-04_13.34.51.390000
4	40	6.520000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	40	6.093000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	60	4.849000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
4	60	4.212000	Siritol	./sounds/cs/ratingcs/tol_18.wav	-1	cs2	labor8	2015-03-04_13.34.51.390000
4	60	6.278000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	0	cs3	labor8	2015-03-04_13.34.51.390000
