phase,subject_nr,block,trial,cond_order,repetition,valence,trial_type,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,244,1,1,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,244,1,2,1,1,positive,extinction,12.png,empty.png,0,None,None,None,None
trials,244,1,3,1,1,negative,extinction,9.png,empty.png,0,None,None,None,None
trials,244,1,4,1,1,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,244,1,5,1,1,negative,extinction,17.png,empty.png,0,None,None,None,None
trials,244,1,6,1,1,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,244,1,7,1,1,positive,acquisition,1.png,1721.JPG,0,None,None,None,None
trials,244,1,8,1,1,neutral,extinction,8.png,empty.png,0,None,None,None,None
trials,244,1,9,1,NA,NA,NA,empty.png,2520.JPG,0,None,None,None,None
trials,244,1,10,1,1,positive,acquisition,3.png,1610.JPG,0,None,None,None,None
trials,244,1,11,1,2,positive,extinction,12.png,empty.png,0,None,None,None,None
trials,244,1,12,1,2,positive,acquisition,3.png,1610.JPG,0,None,None,None,None
trials,244,1,13,1,1,neutral,acquisition,18.png,7002.JPG,0,None,None,None,None
trials,244,1,14,1,1,positive,extinction,21.png,empty.png,0,None,None,None,None
trials,244,1,15,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,244,1,16,1,1,negative,acquisition,10.png,2900.1.JPG,0,None,None,None,None
trials,244,1,17,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,244,1,18,1,NA,NA,NA,7060.JPG,empty.png,0,None,None,None,None
trials,244,1,19,1,2,negative,extinction,17.png,empty.png,0,None,None,None,None
trials,244,1,20,1,1,neutral,acquisition,4.png,7035.JPG,0,None,None,None,None
trials,244,1,21,1,1,negative,acquisition,20.png,2276.JPG,0,None,None,None,None
trials,244,1,22,1,3,positive,extinction,12.png,empty.png,0,None,None,None,None
trials,244,1,23,1,2,neutral,extinction,8.png,empty.png,0,None,None,None,None
trials,244,1,24,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,244,1,25,1,2,negative,extinction,9.png,empty.png,0,None,None,None,None
trials,244,1,26,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,244,1,27,1,1,negative,acquisition,24.png,9041.JPG,0,None,None,None,None
trials,244,1,28,1,3,neutral,extinction,8.png,empty.png,0,None,None,None,None
trials,244,1,29,1,1,positive,extinction,5.png,empty.png,0,None,None,None,None
trials,244,1,30,1,NA,NA,NA,1390.JPG,2310.JPG,0,None,None,None,None
trials,244,1,31,1,2,neutral,acquisition,18.png,7002.JPG,0,None,None,None,None
trials,244,1,32,1,1,positive,acquisition,14.png,1540.JPG,0,None,None,None,None
trials,244,1,33,1,NA,NA,NA,empty.png,6.png,0,None,None,None,space
trials,244,1,34,1,NA,NA,NA,1670.JPG,empty.png,0,None,None,None,None
trials,244,1,35,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,244,1,36,1,NA,NA,NA,2357.JPG,1945.JPG,0,None,None,None,None
trials,244,1,37,1,NA,NA,NA,15.png,27.png,0,None,None,None,None
trials,244,1,38,1,2,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,244,1,39,1,NA,NA,NA,19.png,25.png,0,None,None,None,None
trials,244,1,40,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,244,1,41,1,2,positive,extinction,21.png,empty.png,0,None,None,None,None
trials,244,1,42,1,2,negative,acquisition,10.png,2900.1.JPG,0,None,None,None,None
trials,244,1,43,1,3,neutral,acquisition,18.png,7002.JPG,0,None,None,None,None
trials,244,1,44,1,2,positive,extinction,5.png,empty.png,0,None,None,None,None
trials,244,1,45,1,2,negative,acquisition,24.png,9041.JPG,0,None,None,None,None
