bildtyp set valence usvalence vigiltarget filename usdist1 usdist2 usdist3 usdist4 usdist5 usdist6 sbopt1 sbopt2 sbopt3 sbopt4 sbopt5 sbopt6
1 1 0 1 0 02 44 45 46 51 52 53 0 1 2 6 7 8
1 1 0 1 0 04 44 45 46 51 52 53 0 1 2 6 7 8
1 1 0 1 0 05 44 45 46 51 52 53 0 1 2 6 7 8
1 1 0 -1 0 01 56 57 58 63 64 65 3 4 5 9 10 11
1 1 0 -1 0 03 56 57 58 63 64 65 3 4 5 9 10 11
1 1 0 -1 0 06 56 57 58 63 64 65 3 4 5 9 10 11
1 2 0 1 0 10 47 48 49 54 55 50 0 1 2 6 7 8
1 2 0 1 0 09 47 48 49 54 55 50 0 1 2 6 7 8
1 2 0 1 0 08 47 48 49 54 55 50 0 1 2 6 7 8
1 2 0 -1 0 11 59 60 61 66 67 62 3 4 5 9 10 11
1 2 0 -1 0 12 59 60 61 66 67 62 3 4 5 9 10 11
1 2 0 -1 0 07 59 60 61 66 67 62 3 4 5 9 10 11
1 3 0 0 1 37 -1 -1 -1 -1 -1 -1 12 36 43 21 28 32
1 3 0 0 2 15 -1 -1 -1 -1 -1 -1 13 32 39 29 36 16
1 3 0 0 3 21 -1 -1 -1 -1 -1 -1 14 12 38 27 28 22
1 3 0 0 4 35 -1 -1 -1 -1 -1 -1 15 14 27 30 33 18
1 3 0 0 5 18 -1 -1 -1 -1 -1 -1 16 30 15 42 39 40
1 3 0 0 0 14 44 45 46 51 52 53 17 27 30 34 19 40
1 3 0 0 0 22 44 45 46 51 52 53 18 21 30 27 38 12
1 3 0 0 0 38 56 57 58 63 64 65 19 16 34 28 22 33
1 3 0 0 0 36 56 57 58 63 64 65 20 21 37 15 31 34
1 3 0 0 0 23 47 48 49 54 55 50 21 35 25 39 22 16
1 3 0 0 0 29 47 48 49 54 55 50 22 41 18 19 33 36
1 3 0 0 0 33 59 60 61 66 67 62 23 43 34 40 33 35
1 3 0 0 0 31 59 60 61 66 67 62 24 42 32 33 15 37
1 3 0 0 0 13 -1 -1 -1 -1 -1 -1 25 28 43 16 20 13
1 3 0 0 0 41 -1 -1 -1 -1 -1 -1 26 32 37 24 43 28
1 3 0 0 0 44 -1 -1 -1 -1 -1 -1 27 12 13 42 26 29
1 3 0 0 0 40 -1 -1 -1 -1 -1 -1 28 24 18 30 22 36
1 3 0 0 0 25 -1 -1 -1 -1 -1 -1 29 21 28 33 31 14
1 3 0 0 0 24 -1 -1 -1 -1 -1 -1 30 12 29 37 31 19
1 3 0 0 0 43 -1 -1 -1 -1 -1 -1 31 25 12 36 26 35
1 3 0 0 0 26 -1 -1 -1 -1 -1 -1 32 30 40 41 31 17
1 3 0 0 0 27 -1 -1 -1 -1 -1 -1 33 23 35 12 25 17
1 3 0 0 0 30 -1 -1 -1 -1 -1 -1 34 21 28 24 22 35
1 3 0 0 0 34 -1 -1 -1 -1 -1 -1 35 30 21 41 17 38
1 3 0 0 0 28 -1 -1 -1 -1 -1 -1 36 22 31 29 32 12
1 3 0 0 0 19 -1 -1 -1 -1 -1 -1 37 42 17 34 19 21
1 3 0 0 0 16 -1 -1 -1 -1 -1 -1 38 15 16 12 27 35
1 3 0 0 0 42 -1 -1 -1 -1 -1 -1 39 14 35 25 41 24
1 3 0 0 0 17 -1 -1 -1 -1 -1 -1 40 33 38 24 41 32
1 3 0 0 0 39 -1 -1 -1 -1 -1 -1 41 28 13 29 17 18
1 3 0 0 0 32 -1 -1 -1 -1 -1 -1 42 38 17 31 43 32
1 3 0 0 0 20 -1 -1 -1 -1 -1 -1 43 27 23 39 16 21
2 1 1 2 0 8470 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 5910 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 1710 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 2209 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 7330 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 8190 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 8501 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 7502 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 8370 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 8420 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 2058 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 8080 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 6510 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 2730 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 6821 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 9600 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 3550 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 3400 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 6260 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 6230 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 6300 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 9250 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 9050 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 6312 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2575 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 7550 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 7820 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 1616 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2372 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 5395 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 7640 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2487 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2220 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2635 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 4274 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 7830 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
