blocknr trialtyp set simseq einzelpaar kritisch vigiltarget s1 s2 s1valent s1dauer s1bildtyp s1position s2valent s2dauer s2bildtyp s2position
2 56 1 2 1 0 1 31 26 0 1 1 2 0 0 1 1
2 78 1 2 1 0 0 75 70 0 1 2 2 0 1 2 1
2 1 1 1 2 1 0 4 57 0 0 1 1 -1 1 2 2
2 1 1 1 2 1 0 5 58 0 1 1 1 -1 1 2 2
2 67 1 2 1 1 0 6 59 0 1 1 1 -1 1 2 2
2 2 1 1 2 1 0 20 65 0 1 1 2 -1 1 2 1
2 3 1 1 2 0 0 74 66 0 1 2 2 -1 1 2 1
2 58 1 2 1 1 0 21 67 0 1 1 2 -1 1 2 1
2 4 1 1 2 0 1 40 43 0 0 1 1 0 1 1 2
2 3 1 1 2 0 0 72 73 0 1 2 1 0 1 2 2
2 2 1 1 2 0 1 34 76 0 1 1 2 0 1 2 1
2 4 1 1 2 0 2 27 14 0 1 1 2 0 1 1 1
2 56 1 2 1 0 1 36 37 0 1 1 2 0 0 1 1
2 78 1 2 1 0 0 77 69 0 1 2 2 0 1 2 1
2 1 2 1 2 1 2 7 48 0 0 1 1 1 1 2 2
2 1 2 1 2 1 0 8 49 0 1 1 1 1 1 2 2
2 67 2 2 1 1 0 9 50 0 1 1 1 1 1 2 2
2 2 2 1 2 1 0 22 56 0 1 1 2 1 1 2 1
2 3 2 1 2 0 0 77 51 0 1 2 2 1 1 2 1
2 58 2 2 1 1 0 23 52 0 1 1 2 1 1 2 1
2 4 2 1 2 0 1 43 31 0 0 1 1 0 1 1 2
2 3 2 1 2 0 0 73 70 0 1 2 1 0 1 2 2
2 2 2 1 2 0 1 38 79 0 1 1 2 0 1 2 1
2 4 2 1 2 0 1 26 27 0 1 1 2 0 1 1 1
2 56 2 2 1 0 1 14 42 0 1 1 2 0 0 1 1
2 78 2 2 1 0 0 69 71 0 1 2 2 0 1 2 1
2 1 2 1 2 1 0 10 60 0 0 1 1 -1 1 2 2
2 1 2 1 2 1 0 11 61 0 1 1 1 -1 1 2 2
2 67 2 2 1 1 0 12 62 0 1 1 1 -1 1 2 2
2 2 2 1 2 1 0 24 68 0 1 1 2 -1 1 2 1
2 3 2 1 2 0 0 78 63 0 1 2 2 -1 1 2 1
2 58 2 2 1 1 0 25 64 0 1 1 2 -1 1 2 1
2 4 2 1 2 0 1 29 39 0 0 1 1 0 1 1 2
2 3 2 1 2 0 0 75 74 0 1 2 1 0 1 2 2
2 2 2 1 2 0 1 30 80 0 1 1 2 0 1 2 1
2 4 2 1 2 0 2 14 37 0 1 1 2 0 1 1 1
2 56 2 2 1 0 1 32 34 0 1 1 2 0 0 1 1
2 78 2 2 1 0 0 72 76 0 1 2 2 0 1 2 1
2 0 0 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 0 0 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 0 0 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 0 0 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
