bildtyp set valence usvalence vigiltarget filename usdist1 usdist2 usdist3 usdist4 usdist5 usdist6 sbopt1 sbopt2 sbopt3 sbopt4 sbopt5 sbopt6
1 1 0 1 0 05 44 45 46 51 52 53 0 1 2 6 7 8
1 1 0 1 0 03 44 45 46 51 52 53 0 1 2 6 7 8
1 1 0 1 0 02 44 45 46 51 52 53 0 1 2 6 7 8
1 1 0 -1 0 04 56 57 58 63 64 65 3 4 5 9 10 11
1 1 0 -1 0 06 56 57 58 63 64 65 3 4 5 9 10 11
1 1 0 -1 0 01 56 57 58 63 64 65 3 4 5 9 10 11
1 2 0 1 0 11 47 48 49 54 55 50 0 1 2 6 7 8
1 2 0 1 0 10 47 48 49 54 55 50 0 1 2 6 7 8
1 2 0 1 0 12 47 48 49 54 55 50 0 1 2 6 7 8
1 2 0 -1 0 08 59 60 61 66 67 62 3 4 5 9 10 11
1 2 0 -1 0 07 59 60 61 66 67 62 3 4 5 9 10 11
1 2 0 -1 0 09 59 60 61 66 67 62 3 4 5 9 10 11
1 3 0 0 1 42 -1 -1 -1 -1 -1 -1 12 21 25 26 14 13
1 3 0 0 2 39 -1 -1 -1 -1 -1 -1 13 42 29 40 43 39
1 3 0 0 3 22 -1 -1 -1 -1 -1 -1 14 40 36 20 37 29
1 3 0 0 4 23 -1 -1 -1 -1 -1 -1 15 25 30 35 42 21
1 3 0 0 5 41 -1 -1 -1 -1 -1 -1 16 39 37 13 40 24
1 3 0 0 0 30 44 45 46 51 52 53 17 36 32 29 35 40
1 3 0 0 0 27 44 45 46 51 52 53 18 43 33 37 31 25
1 3 0 0 0 24 56 57 58 63 64 65 19 18 22 25 36 39
1 3 0 0 0 44 56 57 58 63 64 65 20 29 14 37 23 24
1 3 0 0 0 34 47 48 49 54 55 50 21 28 30 16 19 26
1 3 0 0 0 31 47 48 49 54 55 50 22 12 39 28 32 15
1 3 0 0 0 18 59 60 61 66 67 62 23 39 12 19 14 42
1 3 0 0 0 16 59 60 61 66 67 62 24 36 25 17 35 16
1 3 0 0 0 15 -1 -1 -1 -1 -1 -1 25 24 33 30 19 36
1 3 0 0 0 13 -1 -1 -1 -1 -1 -1 26 38 23 41 20 18
1 3 0 0 0 20 -1 -1 -1 -1 -1 -1 27 24 32 40 15 41
1 3 0 0 0 43 -1 -1 -1 -1 -1 -1 28 27 19 40 37 17
1 3 0 0 0 33 -1 -1 -1 -1 -1 -1 29 22 27 36 37 43
1 3 0 0 0 26 -1 -1 -1 -1 -1 -1 30 36 19 29 24 34
1 3 0 0 0 40 -1 -1 -1 -1 -1 -1 31 21 42 36 30 18
1 3 0 0 0 32 -1 -1 -1 -1 -1 -1 32 29 37 40 15 26
1 3 0 0 0 28 -1 -1 -1 -1 -1 -1 33 36 13 23 15 24
1 3 0 0 0 25 -1 -1 -1 -1 -1 -1 34 21 38 37 13 36
1 3 0 0 0 19 -1 -1 -1 -1 -1 -1 35 24 34 33 32 38
1 3 0 0 0 36 -1 -1 -1 -1 -1 -1 36 30 24 43 18 27
1 3 0 0 0 29 -1 -1 -1 -1 -1 -1 37 40 28 19 29 15
1 3 0 0 0 35 -1 -1 -1 -1 -1 -1 38 17 12 34 19 28
1 3 0 0 0 21 -1 -1 -1 -1 -1 -1 39 21 18 27 31 25
1 3 0 0 0 37 -1 -1 -1 -1 -1 -1 40 26 23 24 34 13
1 3 0 0 0 17 -1 -1 -1 -1 -1 -1 41 37 12 14 19 36
1 3 0 0 0 14 -1 -1 -1 -1 -1 -1 42 27 29 36 25 35
1 3 0 0 0 38 -1 -1 -1 -1 -1 -1 43 18 24 37 40 26
2 1 1 2 0 2058 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 5910 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 8190 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 8470 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 7330 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 1 2 0 8080 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 8501 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 8420 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 7502 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 8370 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 2209 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 1 2 0 1710 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 6230 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 9600 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 6260 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 6300 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 9050 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 1 -1 2 0 9250 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 3550 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 6510 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 3400 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 6821 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 2730 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 2 -1 2 0 6312 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 7820 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 7640 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 4274 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 5395 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2372 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 1616 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2635 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2220 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2487 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 2575 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 7830 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 3 0 2 0 7550 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
