US	CS	Time	PC_Nummer	PCName	timeStamp
DisIAPS4	Water1	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Aero06	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Aero04	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Water6	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Aero07	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Aero07	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Aero08	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Aero08	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Water7	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Water1	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Water8	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Water7	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Aero02	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Water8	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Aero02	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Water7	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Water1	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Aero06	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Aero01	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Aero01	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Water4	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Water4	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Aero07	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Water7	172	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Water3	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Water5	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Water5	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Water8	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Aero04	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Aero06	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Water3	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Aero08	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Aero07	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Aero04	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Water1	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Water2	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Water1	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Aero06	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Water4	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Water4	177	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Water1	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Aero04	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Aero07	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Aero06	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Water6	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Aero04	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Aero03	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Water5	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Aero04	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Water1	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Water6	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Water7	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Aero05	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Aero07	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Aero06	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Water3	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Water1	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Aero01	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Water3	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Water4	172	3	laborrechner3	2014-12-08_16.12.18.736000
