subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
28,EC_subj,pokemon,b,0,control_1000_pos_none_2,24_mittel.png,pos,control,1000,none,no,no,no,yes,2103029,2107180
28,EC_subj,pokemon,b,1,filler_50_neu_none,37_mittel.png,neu,filler,50,none,no,no,yes,no,2108203,2110749
28,EC_subj,pokemon,b,2,cs_40_neg_task,22_mittel.png,neg,critical,40,subjective,no,no,no,yes,2111772,2113314
28,EC_subj,pokemon,b,3,filler_1000_neu_none_2,15_mittel.png,neu,filler,1000,none,no,no,no,yes,2114337,2116289
28,EC_subj,pokemon,b,4,filler_40_neu_task,7_mittel.png,neu,filler,40,subjective,no,no,no,yes,2117313,2118241
28,EC_subj,pokemon,b,5,cs_40_pos_task,16_mittel.png,pos,critical,40,subjective,no,no,no,yes,2119264,2120233
28,EC_subj,pokemon,b,6,control_1000_neg_none_2,18_mittel.png,neg,control,1000,none,no,no,no,yes,2121255,2123268
28,EC_subj,pokemon,b,7,control_1000_pos_none,11_mittel.png,pos,control,1000,none,no,no,yes,no,2124291,2127800
28,EC_subj,pokemon,b,8,cs_40_neg_none,25_mittel.png,neg,critical,40,none,no,no,no,yes,2128823,2130005
28,EC_subj,pokemon,b,9,filler_50_neu_task,40_mittel.png,neu,filler,50,subjective,no,no,no,yes,2131027,2131989
28,EC_subj,pokemon,b,10,cs_40_pos_none,2_mittel.png,pos,critical,40,none,no,no,no,yes,2133012,2133752
28,EC_subj,pokemon,b,11,cs_50_neg_none,39_mittel.png,neg,critical,50,none,no,no,no,yes,2134775,2136133
28,EC_subj,pokemon,b,12,cs_50_pos_none,23_mittel.png,pos,critical,50,none,no,no,no,yes,2137155,2137817
28,EC_subj,pokemon,b,13,cs_50_pos_task,17_mittel.png,pos,critical,50,subjective,no,no,no,yes,2138840,2139703
28,EC_subj,pokemon,b,14,control_1000_neg_none,9_mittel.png,neg,control,1000,none,no,no,no,yes,2140725,2141300
28,EC_subj,pokemon,b,15,cs_50_neg_task,4_mittel.png,neg,critical,50,subjective,no,no,no,yes,2142322,2143293
28,EC_subj,pokemon,b,16,filler_40_neu_none,5_mittel.png,neu,filler,40,none,no,no,no,yes,2144315,2145319
28,EC_subj,pokemon,b,17,filler_1000_neu_none_1,10_mittel.png,neu,filler,1000,none,no,no,no,yes,2146341,2147540
