subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
31,EC_only,pokemon,b,0,cs_50_neg_none,39_mittel.png,neg,critical,50,none,no,no,no,yes,2311438,2316817
31,EC_only,pokemon,b,1,cs_50_pos_task,17_mittel.png,pos,critical,50,none,no,no,no,yes,2318131,2321016
31,EC_only,pokemon,b,2,filler_40_neu_task,7_mittel.png,neu,filler,40,none,yes,no,no,no,2322331,2324153
31,EC_only,pokemon,b,3,filler_50_neu_none,37_mittel.png,neu,filler,50,none,yes,no,no,no,2325468,2327454
31,EC_only,pokemon,b,4,cs_40_pos_none,2_mittel.png,pos,critical,40,none,no,no,no,yes,2328768,2330659
31,EC_only,pokemon,b,5,control_1000_neg_none,9_mittel.png,neg,control,1000,none,yes,no,no,no,2331973,2334011
31,EC_only,pokemon,b,6,cs_40_neg_none,25_mittel.png,neg,critical,40,none,no,no,no,yes,2335324,2336698
31,EC_only,pokemon,b,7,filler_50_neu_task,40_mittel.png,neu,filler,50,none,no,no,no,yes,2338012,2339290
31,EC_only,pokemon,b,8,filler_40_neu_none,5_mittel.png,neu,filler,40,none,no,no,no,yes,2340604,2341712
31,EC_only,pokemon,b,9,control_1000_pos_none_2,24_mittel.png,pos,control,1000,none,no,no,yes,no,2343026,2348450
31,EC_only,pokemon,b,10,control_1000_pos_none,11_mittel.png,pos,control,1000,none,no,yes,no,no,2349763,2353107
31,EC_only,pokemon,b,11,control_1000_neg_none_2,18_mittel.png,neg,control,1000,none,no,no,yes,no,2354421,2357642
31,EC_only,pokemon,b,12,cs_50_pos_none,23_mittel.png,pos,critical,50,none,no,no,no,yes,2358955,2360949
31,EC_only,pokemon,b,13,cs_40_neg_task,22_mittel.png,neg,critical,40,none,no,no,no,yes,2362262,2364376
31,EC_only,pokemon,b,14,filler_1000_neu_none_2,15_mittel.png,neu,filler,1000,none,no,yes,no,no,2365691,2371960
31,EC_only,pokemon,b,15,cs_50_neg_task,4_mittel.png,neg,critical,50,none,no,no,no,yes,2373273,2374652
31,EC_only,pokemon,b,16,filler_1000_neu_none_1,10_mittel.png,neu,filler,1000,none,no,yes,no,no,2375965,2377384
31,EC_only,pokemon,b,17,cs_40_pos_task,16_mittel.png,pos,critical,40,none,no,no,no,yes,2378699,2379916
