subject_nr,trial_nr,block_nr,learning_condition,cs_set,combination,trial_type,cs_duration,us_valence,task,cs_us_order,cs_position,us_position,masking,cs_code,paired_code,left_stimulus,right_stimulus,left_type,right_type,left_role,right_role,n_color,rest_duration,pre_mask,post_mask,possible_target_trial_short,possible_target_trial_long,target_trial,inter_trial,response_target_response,time_target_clear,time_empty_masking_noyes,time_target_response,time_us_alone_pre,time_us_fixdot,time_us_premask,time_us_cs,time_us_postmask,time_us_alone_post,time_objective_task,obt_1,obt_2,obt_3,obt_4,obt_5,obt_6,obj_1,obj_2,obj_3,obj_4,obj_5,obj_6,time_blank_end
29,0,1,EC_only,pokemon,b,critical,40,neg,objective,usfirst,right,left,yes,cs_40_neg_none,some us,Pech,11_mittel.png,word,picture,us,maskedcs,#969696,0,fmaske_1.png,fmaske_5.png,no,no,no,1000,NA,NA,NA,NA,2349655,2350557,2351458,2351561,2351603,NA,2351653,16_mittel.png,4_mittel.png,11_mittel.png,23_mittel.png,15_mittel.png,39_mittel.png,no,no,no,no,yes,no,2354925
29,1,1,EC_only,pokemon,b,critical,40,pos,objective,csfirst,right,left,yes,cs_40_pos_none,some us,1999.png,4_mittel.png,picture,picture,us,maskedcs,#969696,1500,fmaske_1.png,fmaske_12.png,no,no,no,250,NA,NA,NA,NA,NA,2355742,2356643,2356746,2356788,2356840,2358340,23_mittel.png,39_mittel.png,15_mittel.png,4_mittel.png,16_mittel.png,11_mittel.png,no,yes,no,no,no,no,2359379
29,2,1,EC_only,pokemon,b,control,1000,neg,none,usfirst,left,right,no,control_1000_neg_none_2,some us,10_mittel.png,9007.png,picture,picture,controlcs,us,#000000,0,fmaske_6.png,fmaske_3.png,no,no,no,250,NA,NA,NA,NA,2360109,NA,NA,2361111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2362113
29,3,1,EC_only,pokemon,b,critical,40,neg,objective,csfirst,right,left,yes,cs_40_neg_task,some us,9340.png,39_mittel.png,picture,picture,us,maskedcs,#969696,1500,fmaske_3.png,fmaske_10.png,no,no,no,250,NA,NA,NA,NA,NA,2362905,2363808,2363910,2363952,2364004,2365504,15_mittel.png,39_mittel.png,16_mittel.png,11_mittel.png,4_mittel.png,23_mittel.png,no,no,no,yes,no,no,2366192
29,4,1,EC_only,pokemon,b,us_w_us,999,neu-neu,none,none,none,both,no,none,none,Klinke,neu2580.png,word,picture,us,us,#000000,999,fmaske_6.png,fmaske_3.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2366881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2368883
29,5,1,EC_only,pokemon,b,cs_w_us,1000,neutral,none,csfirst,right,left,no,filler_1000_neu_none_1,some us,Knopf,19_dunkel.png,word,picture,us,controlcs,#000000,600,fmaske_10.png,fmaske_3.png,no,yes_right,yes,0,space,2369573,2371182,2372182,NA,NA,NA,2369577,NA,2370579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2372185
29,6,1,EC_only,pokemon,b,us_alone,999,neutral,none,none,none,left,no,none,none,Klinke,none,word,none,us,none,#000000,999,fmaske_5.png,fmaske_8.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2372816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2374819
29,7,1,EC_only,pokemon,b,cs_w_us,40,neutral,objective,usfirst,right,left,yes,filler_40_neu_none,some us,neu2372.png,16_mittel.png,picture,picture,us,maskedcs,#969696,0,fmaske_4.png,fmaske_4.png,no,no,no,250,NA,NA,NA,NA,2375698,2376601,2377503,2377605,2377647,NA,2377697,16_mittel.png,23_mittel.png,4_mittel.png,11_mittel.png,15_mittel.png,39_mittel.png,no,no,no,no,yes,no,2378592
29,8,1,EC_only,pokemon,b,critical,50,pos,objective,csfirst,right,left,yes,cs_50_pos_none,some us,5830.png,9_mittel.png,picture,picture,us,maskedcs,#969696,1500,fmaske_11.png,fmaske_11.png,no,no,no,250,NA,NA,NA,NA,NA,2379386,2380288,2380390,2380442,2380494,2381994,18_mittel.png,7_mittel.png,9_mittel.png,22_mittel.png,24_mittel.png,2_mittel.png,no,no,no,no,yes,no,2384489
29,9,1,EC_only,pokemon,b,cs_alone,50,none,objective,none,right,none,yes,filler_50_neu_none,none,none,22_mittel.png,none,picture,none,maskedcs,#969696,999,fmaske_7.png,fmaske_5.png,yes_right,no,no,250,NA,NA,NA,NA,NA,2385111,2386013,2386115,2386167,NA,2386217,2_mittel.png,7_mittel.png,18_mittel.png,9_mittel.png,24_mittel.png,22_mittel.png,no,no,no,no,no,yes,2387296
29,10,1,EC_only,pokemon,b,critical,50,neg,objective,csfirst,right,left,yes,cs_50_neg_task,some us,6831.png,18_mittel.png,picture,picture,us,maskedcs,#969696,1500,fmaske_4.png,fmaske_8.png,no,no,no,250,NA,NA,NA,NA,NA,2388067,2388970,2389072,2389124,2389176,2390676,7_mittel.png,22_mittel.png,2_mittel.png,9_mittel.png,24_mittel.png,18_mittel.png,no,yes,no,no,no,no,2391958
29,11,1,EC_only,pokemon,b,cswcs,50,none,objective,csfirst,left,right,yes,filler_50_neu_none,filler_1000_neu_none_2,22_mittel.png,17_mittel.png,picture,picture,maskedcs,controlcs,#969696,1500,fmaske_3.png,fmaske_5.png,yes_left,no,no,250,NA,NA,NA,NA,NA,2392634,2393537,2393639,2393691,2393743,2395243,2_mittel.png,22_mittel.png,24_mittel.png,7_mittel.png,18_mittel.png,9_mittel.png,no,yes,no,no,no,no,2395980
29,12,1,EC_only,pokemon,b,cs_alone,50,none,objective,none,right,none,yes,filler_50_neu_task,none,none,2_mittel.png,none,picture,none,maskedcs,#969696,999,fmaske_4.png,fmaske_12.png,yes_right,no,no,250,NA,NA,NA,NA,NA,2396603,2397504,2397607,2397659,NA,2397709,9_mittel.png,18_mittel.png,2_mittel.png,24_mittel.png,22_mittel.png,7_mittel.png,no,no,no,no,no,yes,2400388
29,13,1,EC_only,pokemon,b,cswcs,50,none,objective,csfirst,right,left,yes,filler_50_neu_task,o_filler_1000_neu_none_2,avouco,2_mittel.png,word,picture,controlcs,maskedcs,#969696,1500,fmaske_7.png,fmaske_9.png,yes_right,no,no,250,NA,NA,NA,NA,NA,2401131,2402034,2402136,2402188,2402240,2403740,7_mittel.png,9_mittel.png,24_mittel.png,2_mittel.png,18_mittel.png,22_mittel.png,no,no,no,yes,no,no,2404743
29,14,1,EC_only,pokemon,b,critical,40,neg,objective,usfirst,left,right,yes,cs_40_neg_task,some us,39_mittel.png,Teufel,picture,word,maskedcs,us,#969696,0,fmaske_10.png,fmaske_7.png,no,no,no,250,NA,NA,NA,NA,2405470,2406372,2407274,2407376,2407418,NA,2407468,4_mittel.png,11_mittel.png,39_mittel.png,23_mittel.png,16_mittel.png,15_mittel.png,yes,no,no,no,no,no,2408400
29,15,1,EC_only,pokemon,b,cswcs,50,none,objective,csfirst,left,right,yes,filler_50_neu_none,filler_1000_neu_none_2,22_mittel.png,17_mittel.png,picture,picture,maskedcs,controlcs,#969696,1500,fmaske_4.png,fmaske_6.png,yes_left,no,no,250,NA,NA,NA,NA,NA,2409077,2409979,2410081,2410133,2410185,2411685,9_mittel.png,18_mittel.png,24_mittel.png,2_mittel.png,22_mittel.png,7_mittel.png,no,no,no,yes,no,no,2413823
29,16,1,EC_only,pokemon,b,critical,50,neg,objective,usfirst,left,right,yes,cs_50_neg_task,some us,18_mittel.png,9265.png,picture,picture,maskedcs,us,#969696,0,fmaske_8.png,fmaske_1.png,no,no,no,250,NA,NA,NA,NA,2414710,2415613,2416514,2416617,2416669,NA,2416719,24_mittel.png,7_mittel.png,18_mittel.png,9_mittel.png,2_mittel.png,22_mittel.png,no,no,no,no,yes,no,2418406
29,17,1,EC_only,pokemon,b,control,1000,neg,none,usfirst,right,left,no,control_1000_neg_none_2,some us,Teufel,10_mittel.png,word,picture,us,controlcs,#000000,0,fmaske_8.png,fmaske_2.png,no,no,no,250,NA,NA,NA,NA,2419099,NA,NA,2420101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2421103
29,18,1,EC_only,pokemon,b,critical,50,pos,objective,usfirst,right,left,yes,cs_50_pos_task,some us,4622.png,24_mittel.png,picture,picture,us,maskedcs,#969696,0,fmaske_9.png,fmaske_1.png,no,no,no,1000,NA,NA,NA,NA,2421911,2422813,2423715,2423817,2423869,NA,2423919,22_mittel.png,18_mittel.png,2_mittel.png,7_mittel.png,24_mittel.png,9_mittel.png,no,yes,no,no,no,no,2425218
29,19,1,EC_only,pokemon,b,critical,40,neg,objective,csfirst,right,left,yes,cs_40_neg_none,some us,Angst,11_mittel.png,word,picture,us,maskedcs,#969696,1500,fmaske_10.png,fmaske_11.png,no,no,no,250,NA,NA,NA,NA,NA,2425931,2426833,2426935,2426977,2427029,2428529,16_mittel.png,11_mittel.png,23_mittel.png,39_mittel.png,15_mittel.png,4_mittel.png,no,no,no,yes,no,no,2430353
29,20,1,EC_only,pokemon,b,critical,50,neg,objective,usfirst,left,right,yes,cs_50_neg_none,some us,7_mittel.png,Schmerz,picture,word,maskedcs,us,#969696,0,fmaske_11.png,fmaske_7.png,no,no,no,250,NA,NA,NA,NA,2431073,2431976,2432878,2432980,2433032,NA,2433082,7_mittel.png,18_mittel.png,24_mittel.png,9_mittel.png,22_mittel.png,2_mittel.png,yes,no,no,no,no,no,2434172
29,21,1,EC_only,pokemon,b,cswcs,40,none,objective,csfirst,right,left,yes,filler_40_neu_task,o_filler_1000_neu_none_2,avouco,15_mittel.png,word,picture,controlcs,maskedcs,#969696,1500,fmaske_1.png,fmaske_10.png,no,yes_left,no,250,NA,NA,NA,NA,NA,2434914,2435816,2435918,2435960,2436012,2437512,11_mittel.png,15_mittel.png,16_mittel.png,39_mittel.png,4_mittel.png,23_mittel.png,no,no,no,no,no,yes,2438723
29,22,1,EC_only,pokemon,b,critical,40,pos,objective,usfirst,left,right,yes,cs_40_pos_none,some us,4_mittel.png,Glück,picture,word,maskedcs,us,#969696,0,fmaske_10.png,fmaske_4.png,no,no,no,250,NA,NA,NA,NA,2439443,2440345,2441246,2441349,2441391,NA,2441441,11_mittel.png,16_mittel.png,4_mittel.png,15_mittel.png,23_mittel.png,39_mittel.png,no,no,yes,no,no,no,2442626
29,23,1,EC_only,pokemon,b,us_w_us,999,neu-neu,none,none,none,both,no,none,none,Lampe,neu7080.png,word,picture,us,us,#000000,999,fmaske_4.png,fmaske_3.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2443324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2445326
29,24,1,EC_only,pokemon,b,critical,50,pos,objective,usfirst,right,left,yes,cs_50_pos_task,some us,Witz,24_mittel.png,word,picture,us,maskedcs,#969696,0,fmaske_6.png,fmaske_6.png,no,no,no,250,NA,NA,NA,NA,2446065,2446967,2447869,2447971,2448023,NA,2448073,24_mittel.png,22_mittel.png,2_mittel.png,7_mittel.png,9_mittel.png,18_mittel.png,no,yes,no,no,no,no,2448722
29,25,1,EC_only,pokemon,b,critical,50,neg,objective,usfirst,right,left,yes,cs_50_neg_task,some us,2276.png,18_mittel.png,picture,picture,us,maskedcs,#969696,0,fmaske_1.png,fmaske_2.png,no,no,no,250,NA,NA,NA,NA,2449524,2450427,2451329,2451431,2451483,NA,2451533,9_mittel.png,18_mittel.png,22_mittel.png,24_mittel.png,7_mittel.png,2_mittel.png,no,no,no,no,yes,no,2452125
29,26,1,EC_only,pokemon,b,control,1000,neg,none,csfirst,right,left,no,control_1000_neg_none,some us,9182.png,37_mittel.png,picture,picture,us,controlcs,#000000,600,fmaske_5.png,fmaske_6.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2452875,NA,2453877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454480
29,27,1,EC_only,pokemon,b,control,1000,neg,none,usfirst,left,right,no,control_1000_neg_none_2,some us,10_mittel.png,Abgas,picture,word,controlcs,us,#000000,0,fmaske_3.png,fmaske_12.png,no,no,no,250,NA,NA,NA,NA,2455155,NA,NA,2456158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2457160
29,28,1,EC_only,pokemon,b,us_alone,999,neutral,none,none,none,right,no,none,none,none,Schrank,none,word,none,us,#000000,999,fmaske_4.png,fmaske_9.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2457785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2459787
29,29,1,EC_only,pokemon,b,us_alone,999,neg,none,none,none,right,no,none,none,none,Henker,none,word,none,us,#000000,999,fmaske_5.png,fmaske_4.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2460413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2462415
