subject_nr,trial_nr,block_nr,learning_condition,cs_set,combination,trial_type,cs_duration,us_valence,task,cs_us_order,cs_position,us_position,masking,cs_code,paired_code,left_stimulus,right_stimulus,left_type,right_type,left_role,right_role,n_color,rest_duration,pre_mask,post_mask,possible_target_trial_short,possible_target_trial_long,target_trial,inter_trial,response_target_response,time_target_clear,time_empty_masking_noyes,time_target_response,time_us_alone_pre,time_us_fixdot,time_us_premask,time_us_cs,time_us_postmask,time_us_alone_post,time_objective_task,obt_1,obt_2,obt_3,obt_4,obt_5,obt_6,obj_1,obj_2,obj_3,obj_4,obj_5,obj_6,time_blank_end
9,0,1,EC_only,nonword,a,control,1000,neg,none,usfirst,left,right,no,control_1000_neg_none_2,some us,minair,Abscheu,word,word,controlcs,us,#000000,0,maske_1.png,maske_6.png,no,no,no,250,NA,NA,NA,NA,2586967,NA,NA,2587970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2588972
9,1,1,EC_only,nonword,a,cs_alone,1000,none,none,none,left,none,no,filler_1000_neu_none_1,none,naptor,none,word,none,controlcs,none,#000000,999,maske_2.png,maske_1.png,no,yes_left,no,250,NA,NA,NA,NA,NA,NA,NA,2589621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2590624
9,2,1,EC_only,nonword,a,critical,50,pos,objective,usfirst,left,right,yes,cs_50_pos_task,some us,coskie,1710.png,word,picture,maskedcs,us,#969696,0,maske_12.png,maske_11.png,no,no,no,250,NA,NA,NA,NA,2591533,2592435,2593337,2593439,2593491,NA,2593541,coskie,tafta,trelle,makan,teutos,roosle,no,yes,no,no,no,no,2604800
9,3,1,EC_only,nonword,a,critical,50,pos,objective,usfirst,left,right,yes,cs_50_pos_none,some us,teutos,Bücher,word,word,maskedcs,us,#969696,0,maske_3.png,maske_5.png,no,no,no,250,NA,NA,NA,NA,2605570,2606472,2607373,2607476,2607528,NA,2607578,tafta,makan,teutos,coskie,roosle,trelle,no,no,yes,no,no,no,2615358
9,4,1,EC_only,nonword,a,us_w_us,999,neu-neu,none,none,none,both,no,none,none,Knopf,Tuch,word,word,us,us,#000000,999,maske_10.png,maske_12.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2616025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2618028
9,5,1,EC_only,nonword,a,critical,40,pos,objective,usfirst,right,left,yes,cs_40_pos_task,some us,1463.png,tavoo,picture,word,us,maskedcs,#969696,0,maske_8.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,2618940,2619842,2620743,2620846,2620888,NA,2620938,babit,tavoo,avouco,pubio,hesire,zillie,no,no,no,no,yes,no,2624548
9,6,1,EC_only,nonword,a,cswcs,50,none,objective,csfirst,left,right,yes,filler_50_neu_none,filler_1000_neu_none_2,roosle,altine,word,word,maskedcs,controlcs,#969696,1500,maske_2.png,maske_7.png,yes_left,no,no,250,NA,NA,NA,NA,NA,2625342,2626243,2626346,2626398,2626450,2627950,roosle,trelle,coskie,teutos,tafta,makan,no,yes,no,no,no,no,2633337
9,7,1,EC_only,nonword,a,cs_alone,1000,none,none,none,right,none,no,filler_1000_neu_none_2,none,none,itafy,none,word,none,controlcs,#000000,999,maske_12.png,maske_6.png,no,yes_right,yes,0,space,2633970,2634976,2635976,NA,NA,NA,2633973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2635979
9,8,1,EC_only,nonword,a,us_w_us,999,neg-pos,none,none,none,both,no,none,none,Schmerz,Geschenk,word,word,us,us,#000000,999,maske_7.png,maske_9.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,2636649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2638651
9,9,1,EC_only,nonword,a,cswcs,70,none,none,csfirst,left,right,yes,filler_50_neu_none,filler_1000_neu_none_2,itafy,altine,word,word,maskedcs,controlcs,#969696,1500,maske_2.png,maske_7.png,yes_left,no,yes,0,None,2639444,2642078,2643978,NA,2639448,2640349,2640452,2640524,2640576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2643981
