subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
51,EC_subj,nonword,a,0,control_1000_neg_none_2,seloom,neg,control,1000,none,19,2651918,2659835
51,EC_subj,nonword,a,1,filler_40_neu_none,parlic,neu,filler,40,none,12,2662152,2666924
51,EC_subj,nonword,a,2,cs_50_pos_task,babit,pos,critical,50,subjective,6,2669241,2671495
51,EC_subj,nonword,a,3,filler_50_neu_none,zillie,neu,filler,50,none,11,2673811,2677012
51,EC_subj,nonword,a,4,control_1000_neg_none,tafta,neg,control,1000,none,9,2679326,2682440
51,EC_subj,nonword,a,5,cs_50_pos_none,hesire,pos,critical,50,none,4,2684756,2688847
51,EC_subj,nonword,a,6,filler_40_neu_task,lobee,neu,filler,40,subjective,5,2691162,2693903
51,EC_subj,nonword,a,7,cs_40_neg_none,tavoo,neg,critical,40,none,9,2696217,2702340
51,EC_subj,nonword,a,8,cs_40_pos_task,roosle,pos,critical,40,subjective,3,2704657,2709010
51,EC_subj,nonword,a,9,cs_40_pos_none,naptor,pos,critical,40,none,5,2711326,2714578
51,EC_subj,nonword,a,10,cs_40_neg_task,altine,neg,critical,40,subjective,12,2716892,2719541
51,EC_subj,nonword,a,11,filler_1000_neu_none_2,trelle,neu,filler,1000,none,9,2721855,2725412
51,EC_subj,nonword,a,12,control_1000_pos_none_2,makan,pos,control,1000,none,17,2727728,2731277
51,EC_subj,nonword,a,13,cs_50_neg_task,pubio,neg,critical,50,subjective,6,2733594,2738361
51,EC_subj,nonword,a,14,filler_1000_neu_none_1,avouco,neu,filler,1000,none,7,2740677,2744588
51,EC_subj,nonword,a,15,cs_50_neg_none,coskie,neg,critical,50,none,5,2746902,2751695
51,EC_subj,nonword,a,16,filler_50_neu_task,minair,neu,filler,50,subjective,6,2754012,2758292
51,EC_subj,nonword,a,17,control_1000_pos_none,teutos,pos,control,1000,none,11,2760608,2764409
