subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
72,EC_subj,nonword,a,0,cs_40_pos_none,zillie,pos,critical,40,none,19,2538441,2545270
72,EC_subj,nonword,a,1,filler_40_neu_task,teutos,neu,filler,40,subjective,16,2547578,2553458
72,EC_subj,nonword,a,2,control_1000_neg_none_2,coskie,neg,control,1000,none,16,2555771,2559970
72,EC_subj,nonword,a,3,cs_50_pos_task,roosle,pos,critical,50,subjective,2,2562281,2566666
72,EC_subj,nonword,a,4,filler_40_neu_none,makan,neu,filler,40,none,10,2568976,2572155
72,EC_subj,nonword,a,5,cs_40_pos_task,minair,pos,critical,40,subjective,19,2574464,2577133
72,EC_subj,nonword,a,6,cs_40_neg_none,trelle,neg,critical,40,none,9,2579444,2581523
72,EC_subj,nonword,a,7,cs_50_neg_task,altine,neg,critical,50,subjective,1,2583833,2586172
72,EC_subj,nonword,a,8,control_1000_neg_none,pubio,neg,control,1000,none,17,2588484,2590986
72,EC_subj,nonword,a,9,filler_50_neu_none,seloom,neu,filler,50,none,7,2593309,2595716
72,EC_subj,nonword,a,10,filler_50_neu_task,tafta,neu,filler,50,subjective,4,2598028,2600456
72,EC_subj,nonword,a,11,filler_1000_neu_none_1,lobee,neu,filler,1000,none,17,2602770,2605635
72,EC_subj,nonword,a,12,filler_1000_neu_none_2,parlic,neu,filler,1000,none,19,2607954,2611468
72,EC_subj,nonword,a,13,cs_40_neg_task,avouco,neg,critical,40,subjective,2,2613782,2616228
72,EC_subj,nonword,a,14,control_1000_pos_none_2,hesire,pos,control,1000,none,15,2618542,2621659
72,EC_subj,nonword,a,15,cs_50_pos_none,naptor,pos,critical,50,none,6,2623972,2626648
72,EC_subj,nonword,a,16,control_1000_pos_none,babit,pos,control,1000,none,15,2628966,2631772
72,EC_subj,nonword,a,17,cs_50_neg_none,tavoo,neg,critical,50,none,2,2634084,2636939
