subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,correct_opt,correct_type,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_dk,time_idmem_form,time_idmem_blank
15,EC_subj,pokemon,b,0,filler_1000_neu_none_2,23_mittel.png,neu,filler,1000,none,Sessel,word,neu5740.png,neu7000.png,neu1616.png,Sessel,Kreis,Tuch,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2888905,2901066
15,EC_subj,pokemon,b,1,control_1000_pos_none_2,37_mittel.png,pos,control,1000,none,2550.png,picture,2550.png,4622.png,2900.2.png,Himmel,Wärme,Fete,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2902442,2908754
15,EC_subj,pokemon,b,2,control_1000_neg_none,10_mittel.png,neg,control,1000,none,Wahnsinn,word,8485.png,9432.png,9180.png,Pest,Wahnsinn,Gewalt,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2910142,2913251
15,EC_subj,pokemon,b,3,cs_40_pos_none,39_mittel.png,pos,critical,40,none,5594.png,picture,5594.png,2040.png,2091.png,Freizeit,Sonne,Frieden,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2914659,2921938
15,EC_subj,pokemon,b,4,control_1000_neg_none_2,15_mittel.png,neg,control,1000,none,Tyrann,word,3550.png,2710.png,9561.png,AIDS,Geschwür,Tyrann,picture,picture,picture,word,word,word,no,no,no,yes,no,no,no,2923314,2927693
15,EC_subj,pokemon,b,5,filler_1000_neu_none_1,17_mittel.png,neu,filler,1000,none,neu7490.png,picture,neu5510.png,neu2372.png,neu7490.png,Bein,Linie,Dach,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2929086,2932138
15,EC_subj,pokemon,b,6,cs_40_neg_task,11_mittel.png,neg,critical,40,subjective,Henker,word,8485.png,9006.png,9830.png,Schmerz,Henker,Gemeinheit,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2933540,2937618
15,EC_subj,pokemon,b,7,filler_40_neu_none,2_mittel.png,neu,filler,40,none,neu7233.png,picture,neu7233.png,neu7640.png,neu7490.png,Dach,Schrank,Kreis,picture,picture,picture,word,word,word,no,no,yes,no,no,no,no,2939015,2942867
15,EC_subj,pokemon,b,8,filler_50_neu_none,25_mittel.png,neu,filler,50,none,Hand,word,neu5731.png,neu2220.png,neu1616.png,Hand,Knopf,Klinke,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2944251,2946090
15,EC_subj,pokemon,b,9,cs_40_neg_none,24_mittel.png,neg,critical,40,none,3300.png,picture,3300.png,3550.png,9430.png,Sadist,Tod,Folter,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2947455,2949658
15,EC_subj,pokemon,b,10,control_1000_pos_none,40_mittel.png,pos,control,1000,none,2208.png,picture,5910.png,4606.png,2208.png,Glück,Freund,Witz,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2951027,2954394
15,EC_subj,pokemon,b,11,filler_40_neu_task,16_mittel.png,neu,filler,40,subjective,neu2220.png,picture,neu2580.png,neu2220.png,neu2372.png,Schrank,Sessel,Klinke,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2955772,2957785
15,EC_subj,pokemon,b,12,cs_50_neg_none,5_mittel.png,neg,critical,50,none,Absturz,word,3550.png,2375.1.png,9330.png,Folter,Abgrund,Absturz,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2959158,2961417
15,EC_subj,pokemon,b,13,cs_50_neg_task,7_mittel.png,neg,critical,50,subjective,3160.png,picture,3160.png,9421.png,9630.png,Stress,Mühe,Folter,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2962807,2964705
15,EC_subj,pokemon,b,14,cs_50_pos_task,9_mittel.png,pos,critical,50,subjective,1999.png,picture,1999.png,2791.png,2160.png,Fete,Wärme,Sommer,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2966101,2967474
15,EC_subj,pokemon,b,15,filler_50_neu_task,22_mittel.png,neu,filler,50,subjective,neu2620.png,picture,neu7820.png,neu7004.png,neu2620.png,Wand,Kreis,Klinke,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2968855,2970770
15,EC_subj,pokemon,b,16,cs_40_pos_task,4_mittel.png,pos,critical,40,subjective,8080.png,picture,7350.png,8080.png,5460.png,Wärme,Kunst,Scherz,picture,picture,picture,word,word,word,yes,no,no,no,no,no,no,2972171,2978499
15,EC_subj,pokemon,b,17,cs_50_pos_none,18_mittel.png,pos,critical,50,none,8496.png,picture,8496.png,2660.png,1999.png,Himmel,Meer,Ruhe,picture,picture,picture,word,word,word,no,no,no,no,no,no,yes,2979891,2982434
