subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
29,EC_only,pokemon,b,0,cs_50_neg_none,7_mittel.png,neg,critical,50,none,1,1986865,1991798
29,EC_only,pokemon,b,1,cs_40_neg_none,11_mittel.png,neg,critical,40,none,17,1994106,1998248
29,EC_only,pokemon,b,2,control_1000_pos_none_2,40_mittel.png,pos,control,1000,none,15,2000557,2004824
29,EC_only,pokemon,b,3,filler_40_neu_none,16_mittel.png,neu,filler,40,none,4,2007131,2009761
29,EC_only,pokemon,b,4,filler_40_neu_task,15_mittel.png,neu,filler,40,none,3,2012073,2015358
29,EC_only,pokemon,b,5,filler_50_neu_task,2_mittel.png,neu,filler,50,none,1,2017668,2019846
29,EC_only,pokemon,b,6,cs_40_pos_none,4_mittel.png,pos,critical,40,none,3,2022154,2024831
29,EC_only,pokemon,b,7,control_1000_neg_none_2,10_mittel.png,neg,control,1000,none,9,2027139,2029779
29,EC_only,pokemon,b,8,control_1000_pos_none,5_mittel.png,pos,control,1000,none,6,2032089,2035829
29,EC_only,pokemon,b,9,control_1000_neg_none,37_mittel.png,neg,control,1000,none,2,2038135,2042011
29,EC_only,pokemon,b,10,filler_1000_neu_none_1,25_mittel.png,neu,filler,1000,none,0,2044325,2048664
29,EC_only,pokemon,b,11,cs_40_neg_task,39_mittel.png,neg,critical,40,none,4,2050973,2056514
29,EC_only,pokemon,b,12,filler_1000_neu_none_2,17_mittel.png,neu,filler,1000,none,5,2058821,2061098
29,EC_only,pokemon,b,13,cs_40_pos_task,23_mittel.png,pos,critical,40,none,3,2063405,2065604
29,EC_only,pokemon,b,14,cs_50_pos_task,24_mittel.png,pos,critical,50,none,10,2067916,2070132
29,EC_only,pokemon,b,15,cs_50_pos_none,9_mittel.png,pos,critical,50,none,7,2072442,2074299
29,EC_only,pokemon,b,16,cs_50_neg_task,18_mittel.png,neg,critical,50,none,2,2076606,2080871
29,EC_only,pokemon,b,17,filler_50_neu_none,22_mittel.png,neu,filler,50,none,10,2083176,2088934
