subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
9,EC_only,nonword,a,0,filler_50_neu_task,trelle,neu,filler,50,none,no,no,no,yes,2304376,2319110
9,EC_only,nonword,a,1,control_1000_neg_none_2,minair,neg,control,1000,none,no,yes,no,no,2320362,2334615
9,EC_only,nonword,a,2,control_1000_neg_none,parlic,neg,control,1000,none,yes,no,no,no,2335866,2339169
9,EC_only,nonword,a,3,cs_40_pos_none,babit,pos,critical,40,none,no,no,yes,no,2340422,2343367
9,EC_only,nonword,a,4,cs_50_pos_task,coskie,pos,critical,50,none,no,no,no,yes,2344618,2346611
9,EC_only,nonword,a,5,filler_40_neu_task,zillie,neu,filler,40,none,no,no,no,yes,2347862,2349601
9,EC_only,nonword,a,6,cs_50_pos_none,teutos,pos,critical,50,none,no,no,no,yes,2350853,2354147
9,EC_only,nonword,a,7,cs_40_neg_task,hesire,neg,critical,40,none,no,yes,no,no,2355398,2358177
9,EC_only,nonword,a,8,filler_1000_neu_none_1,naptor,neu,filler,1000,none,yes,no,no,no,2359429,2363084
9,EC_only,nonword,a,9,control_1000_pos_none,seloom,pos,control,1000,none,no,no,yes,no,2364336,2366100
9,EC_only,nonword,a,10,filler_1000_neu_none_2,altine,neu,filler,1000,none,no,no,yes,no,2367353,2371360
9,EC_only,nonword,a,11,filler_40_neu_none,avouco,neu,filler,40,none,no,no,no,yes,2372614,2375010
9,EC_only,nonword,a,12,cs_50_neg_none,tafta,neg,critical,50,none,no,no,no,yes,2376262,2378024
9,EC_only,nonword,a,13,cs_40_pos_task,tavoo,pos,critical,40,none,no,no,no,yes,2379278,2380636
9,EC_only,nonword,a,14,control_1000_pos_none_2,lobee,pos,control,1000,none,no,yes,no,no,2381888,2386150
9,EC_only,nonword,a,15,filler_50_neu_none,roosle,neu,filler,50,none,no,no,no,yes,2387403,2389465
9,EC_only,nonword,a,16,cs_50_neg_task,makan,neg,critical,50,none,no,no,yes,no,2390718,2392583
9,EC_only,nonword,a,17,cs_40_neg_none,pubio,neg,critical,40,none,no,no,no,yes,2393834,2395573
