subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
42,EC_only,pokemon,b,0,control_1000_pos_none,15_mittel.png,pos,control,1000,none,no,yes,no,no,2228425,2235549
42,EC_only,pokemon,b,1,cs_40_pos_none,9_mittel.png,pos,critical,40,none,no,no,no,yes,2236863,2239605
42,EC_only,pokemon,b,2,cs_40_neg_none,7_mittel.png,neg,critical,40,none,no,no,no,yes,2240919,2244334
42,EC_only,pokemon,b,3,cs_50_neg_none,10_mittel.png,neg,critical,50,none,no,no,no,yes,2245648,2246853
42,EC_only,pokemon,b,4,filler_40_neu_none,17_mittel.png,neu,filler,40,none,no,no,no,yes,2248166,2249422
42,EC_only,pokemon,b,5,filler_1000_neu_none_2,11_mittel.png,neu,filler,1000,none,yes,no,no,no,2250735,2256406
42,EC_only,pokemon,b,6,control_1000_neg_none,2_mittel.png,neg,control,1000,none,yes,no,no,no,2257720,2259814
42,EC_only,pokemon,b,7,filler_1000_neu_none_1,39_mittel.png,neu,filler,1000,none,no,no,yes,no,2261128,2265062
42,EC_only,pokemon,b,8,cs_50_pos_task,5_mittel.png,pos,critical,50,none,no,no,no,yes,2266376,2267685
42,EC_only,pokemon,b,9,cs_50_pos_none,40_mittel.png,pos,critical,50,none,no,no,no,yes,2268999,2270525
42,EC_only,pokemon,b,10,filler_40_neu_task,25_mittel.png,neu,filler,40,none,no,no,no,yes,2271838,2272974
42,EC_only,pokemon,b,11,filler_50_neu_task,23_mittel.png,neu,filler,50,none,no,no,no,yes,2274286,2275973
42,EC_only,pokemon,b,12,cs_50_neg_task,37_mittel.png,neg,critical,50,none,no,no,no,yes,2277288,2278502
42,EC_only,pokemon,b,13,cs_40_pos_task,24_mittel.png,pos,critical,40,none,no,no,no,yes,2279818,2281206
42,EC_only,pokemon,b,14,control_1000_neg_none_2,22_mittel.png,neg,control,1000,none,no,no,yes,no,2282519,2286230
42,EC_only,pokemon,b,15,control_1000_pos_none_2,16_mittel.png,pos,control,1000,none,no,yes,no,no,2287543,2291079
42,EC_only,pokemon,b,16,filler_50_neu_none,4_mittel.png,neu,filler,50,none,no,no,no,yes,2292393,2294006
42,EC_only,pokemon,b,17,cs_40_neg_task,18_mittel.png,neg,critical,40,none,no,no,no,yes,2295319,2297110
