subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
19,EC_only,pokemon,b,0,cs_40_neg_task,7_mittel.png,neg,critical,40,none,no,yes,no,no,2297380,2316023
19,EC_only,pokemon,b,1,control_1000_pos_none_2,2_mittel.png,pos,control,1000,none,no,yes,no,no,2317271,2326423
19,EC_only,pokemon,b,2,cs_50_pos_none,37_mittel.png,pos,critical,50,none,no,no,no,yes,2327672,2330659
19,EC_only,pokemon,b,3,cs_40_neg_none,5_mittel.png,neg,critical,40,none,no,no,yes,no,2331909,2335454
19,EC_only,pokemon,b,4,filler_40_neu_task,17_mittel.png,neu,filler,40,none,yes,no,no,no,2336702,2340302
19,EC_only,pokemon,b,5,cs_50_neg_task,10_mittel.png,neg,critical,50,none,no,yes,no,no,2341550,2345274
19,EC_only,pokemon,b,6,filler_50_neu_none,39_mittel.png,neu,filler,50,none,no,no,no,yes,2346524,2351248
19,EC_only,pokemon,b,7,filler_1000_neu_none_2,24_mittel.png,neu,filler,1000,none,yes,no,no,no,2352496,2357561
19,EC_only,pokemon,b,8,cs_50_pos_task,40_mittel.png,pos,critical,50,none,no,yes,no,no,2358810,2361929
19,EC_only,pokemon,b,9,control_1000_neg_none,22_mittel.png,neg,control,1000,none,no,no,yes,no,2363177,2364550
19,EC_only,pokemon,b,10,cs_50_neg_none,15_mittel.png,neg,critical,50,none,no,no,yes,no,2365798,2371457
19,EC_only,pokemon,b,11,control_1000_pos_none,16_mittel.png,pos,control,1000,none,no,no,no,yes,2372704,2375919
19,EC_only,pokemon,b,12,filler_40_neu_none,23_mittel.png,neu,filler,40,none,no,yes,no,no,2377168,2380939
19,EC_only,pokemon,b,13,cs_40_pos_none,18_mittel.png,pos,critical,40,none,yes,no,no,no,2382186,2383970
19,EC_only,pokemon,b,14,filler_1000_neu_none_1,11_mittel.png,neu,filler,1000,none,no,yes,no,no,2385218,2387287
19,EC_only,pokemon,b,15,control_1000_neg_none_2,25_mittel.png,neg,control,1000,none,no,no,yes,no,2388536,2391778
19,EC_only,pokemon,b,16,cs_40_pos_task,9_mittel.png,pos,critical,40,none,no,no,yes,no,2393025,2394717
19,EC_only,pokemon,b,17,filler_50_neu_task,4_mittel.png,neu,filler,50,none,no,yes,no,no,2395967,2398082
