subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
61,EC_only,pokemon,b,0,cs_40_neg_task,5_mittel.png,neg,critical,40,none,5,2153771,2160364
61,EC_only,pokemon,b,1,filler_50_neu_none,11_mittel.png,neu,filler,50,none,12,2162674,2167726
61,EC_only,pokemon,b,2,cs_40_pos_task,18_mittel.png,pos,critical,40,none,2,2170036,2173717
61,EC_only,pokemon,b,3,control_1000_pos_none_2,22_mittel.png,pos,control,1000,none,18,2176026,2178374
61,EC_only,pokemon,b,4,control_1000_neg_none_2,17_mittel.png,neg,control,1000,none,15,2180689,2184012
61,EC_only,pokemon,b,5,control_1000_pos_none,2_mittel.png,pos,control,1000,none,13,2186324,2191677
61,EC_only,pokemon,b,6,cs_50_neg_task,15_mittel.png,neg,critical,50,none,14,2193988,2196485
61,EC_only,pokemon,b,7,filler_1000_neu_none_1,24_mittel.png,neu,filler,1000,none,5,2198799,2203304
61,EC_only,pokemon,b,8,filler_40_neu_task,23_mittel.png,neu,filler,40,none,2,2205617,2207941
61,EC_only,pokemon,b,9,cs_50_neg_none,16_mittel.png,neg,critical,50,none,1,2210251,2213682
61,EC_only,pokemon,b,10,cs_40_neg_none,40_mittel.png,neg,critical,40,none,2,2215996,2218486
61,EC_only,pokemon,b,11,filler_40_neu_none,4_mittel.png,neu,filler,40,none,1,2220806,2223347
61,EC_only,pokemon,b,12,filler_1000_neu_none_2,9_mittel.png,neu,filler,1000,none,5,2225657,2227964
61,EC_only,pokemon,b,13,cs_50_pos_task,37_mittel.png,pos,critical,50,none,0,2230274,2232534
61,EC_only,pokemon,b,14,filler_50_neu_task,39_mittel.png,neu,filler,50,none,2,2234847,2238048
61,EC_only,pokemon,b,15,cs_50_pos_none,10_mittel.png,pos,critical,50,none,2,2240356,2242768
61,EC_only,pokemon,b,16,cs_40_pos_none,7_mittel.png,pos,critical,40,none,6,2245077,2247294
61,EC_only,pokemon,b,17,control_1000_neg_none,25_mittel.png,neg,control,1000,none,0,2249602,2251785
