subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
5,EC_subj,pokemon,b,0,control_1000_neg_none_2,17_mittel.png,neg,control,1000,none,no,no,no,yes,2699256,2706558
5,EC_subj,pokemon,b,1,control_1000_pos_none_2,22_mittel.png,pos,control,1000,none,no,yes,no,no,2707807,2709582
5,EC_subj,pokemon,b,2,filler_1000_neu_none_1,24_mittel.png,neu,filler,1000,none,no,no,no,yes,2710830,2716661
5,EC_subj,pokemon,b,3,filler_50_neu_task,39_mittel.png,neu,filler,50,subjective,yes,no,no,no,2717911,2719446
5,EC_subj,pokemon,b,4,cs_50_pos_none,10_mittel.png,pos,critical,50,none,no,no,no,yes,2720696,2721814
5,EC_subj,pokemon,b,5,filler_50_neu_none,11_mittel.png,neu,filler,50,none,no,no,no,yes,2723062,2724430
5,EC_subj,pokemon,b,6,filler_40_neu_none,4_mittel.png,neu,filler,40,none,no,no,no,yes,2725679,2727510
5,EC_subj,pokemon,b,7,control_1000_pos_none,2_mittel.png,pos,control,1000,none,yes,no,no,no,2728759,2730429
5,EC_subj,pokemon,b,8,cs_40_neg_none,40_mittel.png,neg,critical,40,none,no,no,yes,no,2731679,2732647
5,EC_subj,pokemon,b,9,filler_40_neu_task,23_mittel.png,neu,filler,40,subjective,no,yes,no,no,2733896,2734574
5,EC_subj,pokemon,b,10,control_1000_neg_none,25_mittel.png,neg,control,1000,none,no,no,no,yes,2735823,2736573
5,EC_subj,pokemon,b,11,cs_50_pos_task,37_mittel.png,pos,critical,50,subjective,yes,no,no,no,2737824,2739063
5,EC_subj,pokemon,b,12,cs_50_neg_task,15_mittel.png,neg,critical,50,subjective,yes,no,no,no,2740311,2742294
5,EC_subj,pokemon,b,13,cs_40_neg_task,5_mittel.png,neg,critical,40,subjective,no,no,no,yes,2743543,2744341
5,EC_subj,pokemon,b,14,cs_40_pos_task,18_mittel.png,pos,critical,40,subjective,no,no,yes,no,2745590,2746391
5,EC_subj,pokemon,b,15,filler_1000_neu_none_2,9_mittel.png,neu,filler,1000,none,no,yes,no,no,2747639,2749133
5,EC_subj,pokemon,b,16,cs_40_pos_none,7_mittel.png,pos,critical,40,none,yes,no,no,no,2750382,2751294
5,EC_subj,pokemon,b,17,cs_50_neg_none,16_mittel.png,neg,critical,50,none,no,no,no,yes,2752541,2753333
