  ECOsub2 [12-2011]

 14Liste
Liste[i].wort, Liste[i].istwort,  Liste[i].istpositiv, uspositiv, istmaskiert
 dann 5x: Liste[i].us[j]
 dann: 3x Liste[i].liking[j]
  0  kiwehon   0  -1   0   0  23  21  16  15   6 -1  -1  -1
  1    frask   0  -1   0   0  24   2  22   9   3 -1  -1  -1
  2  umeuken   0  -1   0   0   8  17  14   7  18 -1  -1  -1
  3   hiwawa   0  -1   0   0   1   4  11   5  13 -1  -1  -1
  4  larnist   0  -1   0   0  12  20   0  19  10 -1  -1  -1
  5    obacu   0  -1   0   0  18   5  22   3  23 -1  -1  -1
  6  sleshen   0  -1   0   1  19   6  20   2   8 -1  -1  -1
  7  laumens   0  -1   0   1  15  17   7  11   4 -1  -1  -1
  8    botsy   0  -1   0   1  14   1  16  21  12 -1  -1  -1
  9    noste   0  -1   0   1   0  10   9  13  24 -1  -1  -1
 10  pimuide   0  -1   0   1   2  16  15  19  12 -1  -1  -1
 11   schese   0  -1   0   1  14  17   7  18  13 -1  -1  -1
 12    tewok   0  -1   1   0   0   8   3   7  12 -1  -1  -1
 13  permife   0  -1   1   0  14  11  22  24  15 -1  -1  -1
 14   botuyn   0  -1   1   0   1   2  21  10  19 -1  -1  -1
 15  hilejin   0  -1   1   0  20  23   4   9   5 -1  -1  -1
 16   jaciyn   0  -1   1   0  17   6  13  16  18 -1  -1  -1
 17  furasti   0  -1   1   0  12   7  22  13   6 -1  -1  -1
 18    yosud   0  -1   1   1  23   5  21  10   8 -1  -1  -1
 19   uwimor   0  -1   1   1   4  24  20  17   0 -1  -1  -1
 20    medan   0  -1   1   1  14  18  11   1   9 -1  -1  -1
 21   ubajec   0  -1   1   1   3   2  15  19  16 -1  -1  -1
 22   nalber   0  -1   1   1  15   0  22   5  11 -1  -1  -1
 23  molkate   0  -1   1   1   7  20   8  23   9 -1  -1  -1
 24    sacht   1   0   0   0   3   6   1   0   4 -1  -1  -1
 25    sanft   1   0   0   0   8  20  24  21   9 -1  -1  -1
 26     tanz   1   0   0   0  23  22  10  11   5 -1  -1  -1
 27     jazz   1   0   0   1  11   6  17   4   0 -1  -1  -1
 28    schön   1   0   0   1  14  10  23   2  21 -1  -1  -1
 29   hübsch   1   0   0   1  20  13   7  16  19 -1  -1  -1
 30   ananas   1   0   1   0   2  14  13  18   4 -1  -1  -1
 31  hautnah   1   0   1   0  24  16   6   1  17 -1  -1  -1
 32   schatz   1   0   1   0  12  19  21   3  10 -1  -1  -1
 33     bach   1   0   1   1   6  19  17   1  11 -1  -1  -1
 34    jacht   1   0   1   1   4   9  18  23   0 -1  -1  -1
 35     baby   1   0   1   1  20   8  10  21  12 -1  -1  -1
 36    eklig   1   1   0   0  12  22  24  15   1 -1  -1  -1
 37     irre   1   1   0   0  18   5   8   9   3 -1  -1  -1
 38    droge   1   1   0   0   4  12  11  19  14 -1  -1  -1
 39   kerker   1   1   0   1   8  15   6   0   1 -1  -1  -1
 40    viper   1   1   0   1  16  24  17   5  23 -1  -1  -1
 41     mord   1   1   0   1  21  13   7   9  18 -1  -1  -1
 42   gierig   1   1   1   0   3   7  16  22  14 -1  -1  -1
 43    kippe   1   1   1   0   2  13   5  15  24 -1  -1  -1
 44    krieg   1   1   1   0  14  10   1  17  13 -1  -1  -1
 45  erreger   1   1   1   1   9   0  11   5  22 -1  -1  -1
 46    groll   1   1   1   1  12  16   2  23  20 -1  -1  -1
 47  grimmig   1   1   1   1  21  24  18   4  15 -1  -1  -1
CSs
positiv, cs, Liste[positiv*5+cs].wort, fn
  0   0 kiwehon 
  0   1 frask 
  0   2 umeuken 
  0   3 hiwawa 
  0   4 larnist 
  1   0 obacu 
  1   1 sleshen 
  1   2 laumens 
  1   3 botsy 
  1   4 noste 
US-Bilder
cs, Liste[cs].wort, istpositiv, usnr, Liste[cs].us[us], fn
  0 kiwehon  -1   0  23 bild/pos (24)s (Large).bmp
  0 kiwehon  -1   1  21 bild/pos (22)s (Large).bmp
  0 kiwehon  -1   2  16 bild/pos (17)s (Large).bmp
  0 kiwehon  -1   3  15 bild/pos (16)s (Large).bmp
  0 kiwehon  -1   4   6 bild/pos (7)s (Large).bmp
  1 frask  -1   0  24 bild/pos (25)s (Large).bmp
  1 frask  -1   1   2 bild/pos (3)s (Large).bmp
  1 frask  -1   2  22 bild/pos (23)s (Large).bmp
  1 frask  -1   3   9 bild/pos (10)s (Large).bmp
  1 frask  -1   4   3 bild/pos (4)s (Large).bmp
  2 umeuken  -1   0   8 bild/pos (9)s (Large).bmp
  2 umeuken  -1   1  17 bild/pos (18)s (Large).bmp
  2 umeuken  -1   2  14 bild/pos (15)s (Large).bmp
  2 umeuken  -1   3   7 bild/pos (8)s (Large).bmp
  2 umeuken  -1   4  18 bild/pos (19)s (Large).bmp
  3 hiwawa  -1   0   1 bild/pos (2)s (Large).bmp
  3 hiwawa  -1   1   4 bild/pos (5)s (Large).bmp
  3 hiwawa  -1   2  11 bild/pos (12)s (Large).bmp
  3 hiwawa  -1   3   5 bild/pos (6)s (Large).bmp
  3 hiwawa  -1   4  13 bild/pos (14)s (Large).bmp
  4 larnist  -1   0  12 bild/pos (13)s (Large).bmp
  4 larnist  -1   1  20 bild/pos (21)s (Large).bmp
  4 larnist  -1   2   0 bild/pos (1)s (Large).bmp
  4 larnist  -1   3  19 bild/pos (20)s (Large).bmp
  4 larnist  -1   4  10 bild/pos (11)s (Large).bmp
  5 obacu  -1   0  18 bild/pos (19)s (Large).bmp
  5 obacu  -1   1   5 bild/pos (6)s (Large).bmp
  5 obacu  -1   2  22 bild/pos (23)s (Large).bmp
  5 obacu  -1   3   3 bild/pos (4)s (Large).bmp
  5 obacu  -1   4  23 bild/pos (24)s (Large).bmp
  6 sleshen  -1   0  19 bild/pos (20)s (Large).bmp
  6 sleshen  -1   1   6 bild/pos (7)s (Large).bmp
  6 sleshen  -1   2  20 bild/pos (21)s (Large).bmp
  6 sleshen  -1   3   2 bild/pos (3)s (Large).bmp
  6 sleshen  -1   4   8 bild/pos (9)s (Large).bmp
  7 laumens  -1   0  15 bild/pos (16)s (Large).bmp
  7 laumens  -1   1  17 bild/pos (18)s (Large).bmp
  7 laumens  -1   2   7 bild/pos (8)s (Large).bmp
  7 laumens  -1   3  11 bild/pos (12)s (Large).bmp
  7 laumens  -1   4   4 bild/pos (5)s (Large).bmp
  8 botsy  -1   0  14 bild/pos (15)s (Large).bmp
  8 botsy  -1   1   1 bild/pos (2)s (Large).bmp
  8 botsy  -1   2  16 bild/pos (17)s (Large).bmp
  8 botsy  -1   3  21 bild/pos (22)s (Large).bmp
  8 botsy  -1   4  12 bild/pos (13)s (Large).bmp
  9 noste  -1   0   0 bild/pos (1)s (Large).bmp
  9 noste  -1   1  10 bild/pos (11)s (Large).bmp
  9 noste  -1   2   9 bild/pos (10)s (Large).bmp
  9 noste  -1   3  13 bild/pos (14)s (Large).bmp
  9 noste  -1   4  24 bild/pos (25)s (Large).bmp
 10 pimuide  -1   0   2 bild/pos (3)s (Large).bmp
 10 pimuide  -1   1  16 bild/pos (17)s (Large).bmp
 10 pimuide  -1   2  15 bild/pos (16)s (Large).bmp
 10 pimuide  -1   3  19 bild/pos (20)s (Large).bmp
 10 pimuide  -1   4  12 bild/pos (13)s (Large).bmp
 11 schese  -1   0  14 bild/pos (15)s (Large).bmp
 11 schese  -1   1  17 bild/pos (18)s (Large).bmp
 11 schese  -1   2   7 bild/pos (8)s (Large).bmp
 11 schese  -1   3  18 bild/pos (19)s (Large).bmp
 11 schese  -1   4  13 bild/pos (14)s (Large).bmp
 12 tewok  -1   0   0 bild/pos (1)s (Large).bmp
