phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,85,12.png,positive,positive,16
globalratings,85,23.png,positive,positive,12
globalratings,85,3.png,(neg),negative,2
globalratings,85,10.png,negative,positive,1
globalratings,85,14.png,(pos),positive,8
globalratings,85,17.png,positive,negative,9
globalratings,85,1.png,positive,negative,7
globalratings,85,8.png,negative,negative,2
globalratings,85,9.png,negative,positive,11
globalratings,85,18.png,negative,negative,15
globalratings,85,20.png,negative,(neg),10
globalratings,85,26.png,positive,(pos),13
c2ratings,85,26.png,positive,(pos),11
c2ratings,85,9.png,negative,positive,12
c2ratings,85,20.png,negative,(neg),8
c2ratings,85,8.png,negative,negative,5
c2ratings,85,1.png,positive,negative,5
c2ratings,85,18.png,negative,negative,13
c2ratings,85,23.png,positive,positive,10
c2ratings,85,10.png,negative,positive,3
c2ratings,85,17.png,positive,negative,8
c2ratings,85,12.png,positive,positive,13
c2ratings,85,14.png,(pos),positive,11
c2ratings,85,3.png,(neg),negative,2
c1ratings,85,14.png,(pos),positive,11
c1ratings,85,1.png,positive,negative,7
c1ratings,85,26.png,positive,(pos),11
c1ratings,85,3.png,(neg),negative,4
c1ratings,85,10.png,negative,positive,3
c1ratings,85,18.png,negative,negative,12
c1ratings,85,20.png,negative,(neg),4
c1ratings,85,12.png,positive,positive,14
c1ratings,85,8.png,negative,negative,2
c1ratings,85,17.png,positive,negative,11
c1ratings,85,23.png,positive,positive,8
c1ratings,85,9.png,negative,positive,6
