phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,23,gogo_3.jpg,positive,negative,6
globalratings,23,gogo_5.jpg,positive,negative,14
globalratings,23,gogo_9.jpg,(pos),positive,8
globalratings,23,gogo_13.jpg,positive,positive,11
globalratings,23,gogo_17.jpg,positive,(pos),17
globalratings,23,gogo_16.jpg,negative,negative,16
globalratings,23,gogo_4.jpg,negative,positive,2
globalratings,23,gogo_12.jpg,negative,positive,2
globalratings,23,gogo_6.jpg,negative,negative,13
globalratings,23,gogo_7.jpg,positive,positive,12
globalratings,23,gogo_2.jpg,(neg),negative,13
globalratings,23,gogo_20.jpg,negative,(neg),14
c2ratings,23,gogo_2.jpg,(neg),negative,13
c2ratings,23,gogo_6.jpg,negative,negative,13
c2ratings,23,gogo_7.jpg,positive,positive,13
c2ratings,23,gogo_16.jpg,negative,negative,16
c2ratings,23,gogo_5.jpg,positive,negative,3
c2ratings,23,gogo_13.jpg,positive,positive,8
c2ratings,23,gogo_3.jpg,positive,negative,0
c2ratings,23,gogo_17.jpg,positive,(pos),18
c2ratings,23,gogo_12.jpg,negative,positive,16
c2ratings,23,gogo_20.jpg,negative,(neg),12
c2ratings,23,gogo_4.jpg,negative,positive,4
c2ratings,23,gogo_9.jpg,(pos),positive,15
c1ratings,23,gogo_16.jpg,negative,negative,15
c1ratings,23,gogo_17.jpg,positive,(pos),18
c1ratings,23,gogo_9.jpg,(pos),positive,13
c1ratings,23,gogo_5.jpg,positive,negative,7
c1ratings,23,gogo_13.jpg,positive,positive,6
c1ratings,23,gogo_2.jpg,(neg),negative,14
c1ratings,23,gogo_6.jpg,negative,negative,14
c1ratings,23,gogo_12.jpg,negative,positive,2
c1ratings,23,gogo_20.jpg,negative,(neg),14
c1ratings,23,gogo_4.jpg,negative,positive,6
c1ratings,23,gogo_7.jpg,positive,positive,8
c1ratings,23,gogo_3.jpg,positive,negative,0
