c2memory,24,gogo_12.jpg,negative,positive,yes,no,no,no,no,no,yes,no,
c2memory,24,gogo_13.jpg,negative,negative,no,yes,no,no,no,yes,no,no,
c2memory,24,gogo_4.jpg,positive,positive,yes,no,no,no,no,yes,no,no,
c2memory,24,gogo_3.jpg,positive,negative,yes,no,no,no,no,yes,no,no,
c2memory,24,gogo_16.jpg,negative,(neg),no,no,yes,no,no,no,no,yes,
c2memory,24,gogo_7.jpg,positive,(pos),no,no,yes,no,no,no,no,yes,
c2memory,24,gogo_20.jpg,(pos),positive,no,yes,no,no,yes,no,no,no,
c2memory,24,gogo_5.jpg,(neg),negative,no,yes,no,no,no,yes,no,no,
c2memory,24,gogo_17.jpg,negative,positive,yes,no,no,no,no,yes,no,no,
c2memory,24,gogo_6.jpg,positive,positive,no,yes,no,no,no,yes,no,no,
c2memory,24,gogo_9.jpg,negative,negative,no,no,yes,no,no,no,no,yes,
c2memory,24,gogo_2.jpg,positive,negative,yes,no,no,no,yes,no,no,no,
c1memory,24,gogo_3.jpg,positive,negative,yes,no,no,no,yes,no,no,no,
c1memory,24,gogo_13.jpg,negative,negative,no,yes,no,no,no,no,yes,no,
c1memory,24,gogo_12.jpg,negative,positive,no,yes,no,no,no,no,yes,no,
c1memory,24,gogo_4.jpg,positive,positive,no,no,yes,no,no,no,no,yes,
c1memory,24,gogo_5.jpg,(neg),negative,no,yes,no,no,no,no,no,yes,
c1memory,24,gogo_2.jpg,positive,negative,no,yes,no,no,yes,no,no,no,
c1memory,24,gogo_16.jpg,negative,(neg),no,no,yes,no,no,no,no,yes,
c1memory,24,gogo_20.jpg,(pos),positive,yes,no,no,no,no,yes,no,no,
c1memory,24,gogo_7.jpg,positive,(pos),yes,no,no,no,yes,no,no,no,
c1memory,24,gogo_17.jpg,negative,positive,yes,no,no,no,yes,no,no,no,
c1memory,24,gogo_9.jpg,negative,negative,no,yes,no,no,no,no,yes,no,
c1memory,24,gogo_6.jpg,positive,positive,no,no,yes,no,no,no,no,yes,
