phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,61,9.png,positive,negative,11
globalratings,61,8.png,negative,(neg),11
globalratings,61,23.png,negative,negative,15
globalratings,61,20.png,positive,positive,16
globalratings,61,3.png,negative,positive,16
globalratings,61,14.png,(pos),positive,8
globalratings,61,11.png,positive,(pos),14
globalratings,61,7.png,positive,negative,15
globalratings,61,4.png,negative,positive,9
globalratings,61,12.png,negative,negative,12
globalratings,61,17.png,(neg),negative,6
globalratings,61,1.png,positive,positive,12
c2ratings,61,17.png,(neg),negative,11
c2ratings,61,11.png,positive,(pos),11
c2ratings,61,7.png,positive,negative,12
c2ratings,61,14.png,(pos),positive,10
c2ratings,61,4.png,negative,positive,7
c2ratings,61,20.png,positive,positive,13
c2ratings,61,23.png,negative,negative,14
c2ratings,61,9.png,positive,negative,14
c2ratings,61,3.png,negative,positive,15
c2ratings,61,1.png,positive,positive,12
c2ratings,61,8.png,negative,(neg),10
c2ratings,61,12.png,negative,negative,11
c1ratings,61,23.png,negative,negative,12
c1ratings,61,12.png,negative,negative,11
c1ratings,61,8.png,negative,(neg),5
c1ratings,61,4.png,negative,positive,4
c1ratings,61,3.png,negative,positive,13
c1ratings,61,17.png,(neg),negative,14
c1ratings,61,1.png,positive,positive,8
c1ratings,61,9.png,positive,negative,13
c1ratings,61,7.png,positive,negative,14
c1ratings,61,20.png,positive,positive,15
c1ratings,61,11.png,positive,(pos),10
c1ratings,61,14.png,(pos),positive,6
