c2memory,58,1.png,(neg),negative,no,no,yes,no,yes,no,no,no,
c2memory,58,4.png,positive,negative,no,no,no,yes,no,yes,no,no,
c2memory,58,3.png,(pos),positive,yes,no,no,no,no,no,yes,no,
c2memory,58,14.png,positive,(pos),no,no,yes,no,no,no,no,yes,
c2memory,58,9.png,negative,positive,no,yes,no,no,no,no,yes,no,
c2memory,58,11.png,negative,negative,no,no,yes,no,yes,no,no,no,
c2memory,58,21.png,negative,positive,yes,no,no,no,no,yes,no,no,
c2memory,58,5.png,negative,negative,yes,no,no,no,no,yes,no,no,
c2memory,58,26.png,positive,positive,no,yes,no,no,no,no,yes,no,
c2memory,58,20.png,positive,positive,no,no,no,yes,no,no,yes,no,
c2memory,58,24.png,positive,negative,no,no,yes,no,no,yes,no,no,
c2memory,58,12.png,negative,(neg),no,no,yes,no,no,no,yes,no,
c1memory,58,24.png,positive,negative,no,yes,no,no,no,no,yes,no,
c1memory,58,21.png,negative,positive,yes,no,no,no,no,yes,no,no,
c1memory,58,4.png,positive,negative,yes,no,no,no,no,no,yes,no,
c1memory,58,5.png,negative,negative,no,no,yes,no,no,yes,no,no,
c1memory,58,14.png,positive,(pos),yes,no,no,no,no,no,no,yes,
c1memory,58,1.png,(neg),negative,yes,no,no,no,no,no,yes,no,
c1memory,58,9.png,negative,positive,no,no,no,yes,no,yes,no,no,
c1memory,58,3.png,(pos),positive,yes,no,no,no,no,no,yes,no,
c1memory,58,26.png,positive,positive,no,no,no,yes,no,no,yes,no,
c1memory,58,12.png,negative,(neg),no,no,yes,no,no,no,yes,no,
c1memory,58,20.png,positive,positive,no,yes,no,no,no,yes,no,no,
c1memory,58,11.png,negative,negative,no,yes,no,no,no,no,yes,no,
