phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,72,gogo_20.jpg,positive,(pos),15
globalratings,72,gogo_12.jpg,positive,positive,15
globalratings,72,gogo_3.jpg,positive,negative,14
globalratings,72,gogo_4.jpg,negative,negative,14
globalratings,72,gogo_9.jpg,negative,positive,14
globalratings,72,gogo_6.jpg,(pos),positive,13
globalratings,72,gogo_5.jpg,negative,positive,14
globalratings,72,gogo_17.jpg,positive,negative,11
globalratings,72,gogo_16.jpg,(neg),negative,10
globalratings,72,gogo_2.jpg,negative,(neg),15
globalratings,72,gogo_7.jpg,negative,negative,15
globalratings,72,gogo_13.jpg,positive,positive,13
c2ratings,72,gogo_5.jpg,negative,positive,11
c2ratings,72,gogo_17.jpg,positive,negative,9
c2ratings,72,gogo_13.jpg,positive,positive,7
c2ratings,72,gogo_20.jpg,positive,(pos),15
c2ratings,72,gogo_6.jpg,(pos),positive,12
c2ratings,72,gogo_2.jpg,negative,(neg),15
c2ratings,72,gogo_4.jpg,negative,negative,10
c2ratings,72,gogo_9.jpg,negative,positive,11
c2ratings,72,gogo_7.jpg,negative,negative,14
c2ratings,72,gogo_16.jpg,(neg),negative,10
c2ratings,72,gogo_3.jpg,positive,negative,12
c2ratings,72,gogo_12.jpg,positive,positive,13
c1ratings,72,gogo_3.jpg,positive,negative,10
c1ratings,72,gogo_20.jpg,positive,(pos),13
c1ratings,72,gogo_13.jpg,positive,positive,11
c1ratings,72,gogo_2.jpg,negative,(neg),15
c1ratings,72,gogo_5.jpg,negative,positive,12
c1ratings,72,gogo_12.jpg,positive,positive,13
c1ratings,72,gogo_17.jpg,positive,negative,9
c1ratings,72,gogo_9.jpg,negative,positive,11
c1ratings,72,gogo_16.jpg,(neg),negative,9
c1ratings,72,gogo_4.jpg,negative,negative,10
c1ratings,72,gogo_6.jpg,(pos),positive,11
c1ratings,72,gogo_7.jpg,negative,negative,12
