ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
95	Water4.jpg	1	n	5.137035	labor2	2015-01-29_13.31.49.090000
95	Water7.jpg	1	n	3.283655	labor2	2015-01-29_13.31.49.090000
95	Water5.jpg	1	n	4.197542	labor2	2015-01-29_13.31.49.090000
95	Water2.jpg	1	n	1.223710	labor2	2015-01-29_13.31.49.090000
95	Water1.jpg	1	n	1.723716	labor2	2015-01-29_13.31.49.090000
95	Water3.jpg	1	n	1.447055	labor2	2015-01-29_13.31.49.090000
95	Water8.jpg	1	n	1.681215	labor2	2015-01-29_13.31.49.090000
95	Water6.jpg	1	n	1.308063	labor2	2015-01-29_13.31.49.090000
95	Aero06.jpg	2	n	2.022588	labor2	2015-01-29_13.31.49.090000
95	Aero05.jpg	2	n	1.705711	labor2	2015-01-29_13.31.49.090000
95	Aero07.jpg	2	n	1.571034	labor2	2015-01-29_13.31.49.090000
95	Aero08.jpg	2	n	1.873047	labor2	2015-01-29_13.31.49.090000
95	Aero02.jpg	2	n	2.496106	labor2	2015-01-29_13.31.49.090000
95	Aero01.jpg	2	n	2.099223	labor2	2015-01-29_13.31.49.090000
95	Aero03.jpg	2	n	1.219213	labor2	2015-01-29_13.31.49.090000
95	Aero04.jpg	2	n	2.231791	labor2	2015-01-29_13.31.49.090000
