ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp
11	58	9.666000	Eskannif	./sounds/cs/ratingcs/nif_2.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	48	6.432000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	65	4.982000	Spanatol	./sounds/cs/ratingcs/tol_16.wav	-1	cs2	labor5	2015-03-09_10.17.00.265000
11	45	3.242000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	1	cs2	labor5	2015-03-09_10.17.00.265000
11	46	4.001000	Koleelup	./sounds/cs/ratingcs/lup_16.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	52	3.209000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	-1	target	labor5	2015-03-09_10.17.00.265000
11	60	3.260000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	1	cs2	labor5	2015-03-09_10.17.00.265000
11	59	5.939000	Istennif	./sounds/cs/ratingcs/nif_20.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	55	3.272000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	-1	target	labor5	2015-03-09_10.17.00.265000
11	35	3.571000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	71	2.874000	Toleelup	./sounds/cs/ratingcs/lup_5.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	41	1.957000	Falatol	./sounds/cs/ratingcs/tol_4.wav	-1	cs2	labor5	2015-03-09_10.17.00.265000
11	48	2.507000	Allanif	./sounds/cs/ratingcs/nif_7.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	42	1.970000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	49	3.003000	Deretol	./sounds/cs/ratingcs/tol_12.wav	-1	cs2	labor5	2015-03-09_10.17.00.265000
11	79	3.363000	Saartelup	./sounds/cs/ratingcs/lup_10.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	48	2.033000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	1	cs2	labor5	2015-03-09_10.17.00.265000
11	47	3.133000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	57	4.902000	Daanalup	./sounds/cs/ratingcs/lup_12.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	57	1.923000	Zallunif	./sounds/cs/ratingcs/nif_4.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	50	1.398000	Sesetol	./sounds/cs/ratingcs/tol_9.wav	-1	target	labor5	2015-03-09_10.17.00.265000
11	65	2.390000	Baakelup	./sounds/cs/ratingcs/lup_20.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	64	1.918000	Neenolup	./sounds/cs/ratingcs/lup_2.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	41	2.329000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	1	cs2	labor5	2015-03-09_10.17.00.265000
11	54	2.048000	Renetol	./sounds/cs/ratingcs/tol_5.wav	1	target	labor5	2015-03-09_10.17.00.265000
11	56	1.916000	Dattonif	./sounds/cs/ratingcs/nif_12.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	51	1.750000	Piditol	./sounds/cs/ratingcs/tol_13.wav	-1	cs2	labor5	2015-03-09_10.17.00.265000
11	53	1.785000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	1	cs2	labor5	2015-03-09_10.17.00.265000
11	54	1.738000	Zackatol	./sounds/cs/ratingcs/tol_17.wav	-1	cs2	labor5	2015-03-09_10.17.00.265000
11	57	1.835000	Jessunif	./sounds/cs/ratingcs/nif_19.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	61	1.442000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	1	target	labor5	2015-03-09_10.17.00.265000
11	70	2.317000	Moteelup	./sounds/cs/ratingcs/lup_19.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	66	2.173000	Tesoolup	./sounds/cs/ratingcs/lup_13.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	55	3.554000	Dullanif	./sounds/cs/ratingcs/nif_14.wav	0	cs1	labor5	2015-03-09_10.17.00.265000
11	38	5.945000	Mateelup	./sounds/cs/ratingcs/lup_9.wav	0	cs3	labor5	2015-03-09_10.17.00.265000
11	55	55.438000	Befetol	./sounds/cs/ratingcs/tol_14.wav	1	target	labor5	2015-03-09_10.17.00.265000
