subject_nr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_valmem_delay,time_usmem_form,time_usmem_delay
4,cs22.bmp,no,yes,no,2141.jpg,3160.JPG,2750.jpg,9340.JPG,3220.JPG,9432.jpg,yes,no,no,no,no,no,1898015,1904810,1905060,1916859
4,cs16.bmp,no,no,yes,9000.jpg,2900.1.jpg,9432.jpg,2276.jpg,7359.jpg,9180.JPG,no,no,no,no,yes,no,1917909,1922906,1923156,1932950
4,cs21.bmp,yes,no,no,4626.jpg,1721.jpg,2311.jpg,2550.jpg,8461.jpg,1710.JPG,no,no,no,no,no,yes,1933907,1938064,1938314,1940822
4,cs13.bmp,no,yes,no,2058.jpg,2395.jpg,1750.JPG,5831.jpg,7330.JPG,2150.JPG,no,no,no,no,yes,no,1941779,1945970,1946220,1951653
4,cs29.bmp,no,yes,no,7187.jpg,7620.JPG,5510.jpg,2635.jpg,7004.jpg,5740.jpg,no,no,no,yes,no,no,1952598,1955471,1955721,1959962
4,cs26.bmp,no,yes,no,9265.jpg,9041.jpg,6831.jpg,2455.jpg,9280.jpg,2900.1.jpg,no,no,no,yes,no,no,1960909,1965529,1965779,1971925
4,cs24.bmp,no,no,yes,7830.jpg,8211.jpg,7640.jpg,7000.jpg,7211.jpg,7233.jpg,yes,no,no,no,no,no,1972873,1976704,1976954,1981371
4,cs11.bmp,yes,no,no,7187.jpg,5740.jpg,7090.jpg,7000.jpg,7550.jpg,5395.jpg,no,yes,no,no,no,no,1982317,1984781,1985031,1987397
4,cs19.bmp,no,yes,no,2141.jpg,2053.JPG,3181.jpg,9007.jpg,2276.jpg,9220.jpg,no,no,no,no,no,yes,1988340,1991659,1991909,1995419
4,cs9.bmp,yes,no,no,9180.JPG,9220.jpg,9611.jpg,2900.1.jpg,9331.jpg,9007.jpg,no,no,no,no,yes,no,1996369,2001051,2001301,2004124
