subject_nr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_valmem_delay,time_usmem_form,time_usmem_delay
41,cs15.bmp,yes,no,no,2750.jpg,9435.jpg,9340.JPG,9000.jpg,2205.jpg,3220.JPG,no,no,yes,no,no,no,1775997,1784808,1785058,1789094
41,cs1.bmp,no,yes,no,8461.jpg,2058.jpg,5830.JPG,1999.jpg,2071.jpg,2070.jpg,no,yes,no,no,no,no,1790148,1794571,1794821,1799671
41,cs18.bmp,yes,no,no,5910.JPG,2150.JPG,2395.jpg,2311.jpg,2057.jpg,2345.jpg,no,no,no,no,yes,no,1800623,1802669,1802919,1807487
41,cs20.bmp,yes,no,no,2050.jpg,2070.jpg,2040.jpg,5910.JPG,7502.jpg,1460.JPG,no,no,no,no,no,yes,1808436,1810372,1810622,1813263
41,cs22.bmp,no,yes,no,3160.JPG,2455.jpg,2276.jpg,9530.JPG,9041.jpg,9000.jpg,no,no,no,yes,no,no,1814213,1816868,1817118,1821224
41,cs3.bmp,yes,no,no,3220.JPG,9000.jpg,3181.jpg,9520.JPG,9342.jpg,9220.jpg,yes,no,no,no,no,no,1822180,1824014,1824264,1827562
41,cs9.bmp,no,yes,no,9530.JPG,2141.jpg,9520.JPG,9180.JPG,9342.jpg,6831.jpg,no,yes,no,no,no,no,1828508,1831216,1831466,1838343
41,cs7.bmp,no,yes,no,7330.JPG,5830.JPG,2080.jpg,1999.jpg,7502.jpg,1440.jpg,no,no,no,yes,no,no,1839302,1844614,1844864,1848213
41,cs25.bmp,no,yes,no,2550.jpg,2057.jpg,2080.jpg,1463.jpg,2040.jpg,8461.jpg,no,no,no,yes,no,no,1849154,1851795,1852045,1855807
41,cs30.bmp,yes,no,no,9180.JPG,2900.1.jpg,9000.jpg,9265.jpg,9342.jpg,9220.jpg,no,no,yes,no,no,no,1856756,1858884,1859134,1860905
41,cs17.bmp,yes,no,no,3300.jpg,2900.1.jpg,9330.jpg,9007.jpg,2053.JPG,2750.jpg,no,no,no,yes,no,no,1861850,1864650,1864900,1871157
41,cs14.bmp,yes,no,no,7330.JPG,2660.jpg,2341.jpg,2091.jpg,2070.jpg,2058.jpg,no,no,no,no,no,yes,1872110,1874398,1874648,1878984
41,cs4.bmp,no,yes,no,2209.jpg,2070.jpg,2311.jpg,1440.jpg,2341.jpg,2345.jpg,no,yes,no,no,no,no,1879931,1882227,1882477,1890890
41,cs12.bmp,no,yes,no,2900.1.jpg,2750.jpg,3160.JPG,9415.jpg,9430.JPG,3181.jpg,no,yes,no,no,no,no,1891837,1893748,1893998,1903135
41,cs27.bmp,no,no,yes,7820.jpg,2372.jpg,7503.JPG,7550.jpg,7504.jpg,2620.jpg,no,no,no,no,no,yes,1904088,1905518,1905768,1913486
41,cs6.bmp,yes,no,no,2205.jpg,9830.jpg,9331.jpg,3181.jpg,9290.jpg,9320.jpg,no,no,no,no,yes,no,1914450,1917053,1917303,1921941
41,cs13.bmp,no,yes,no,2057.jpg,1460.JPG,8461.jpg,2260.JPG,2050.jpg,2209.jpg,no,no,no,yes,no,no,1922887,1924822,1925072,1927758
41,cs26.bmp,yes,no,no,9520.JPG,2455.jpg,6831.jpg,9561.jpg,9331.jpg,9430.JPG,yes,no,no,no,no,no,1928710,1930427,1930677,1935697
41,cs29.bmp,no,yes,no,9290.jpg,9320.jpg,6311.jpg,3220.JPG,3160.JPG,6831.jpg,yes,no,no,no,no,no,1936649,1938145,1938395,1939786
41,cs19.bmp,no,no,yes,7080.jpg,2580.jpg,3550.2.jpg,1121.jpg,7187.jpg,7004.jpg,no,yes,no,no,no,no,1940734,1943765,1944015,1952629
41,cs23.bmp,yes,no,no,7504.jpg,1313.jpg,3550.2.jpg,7080.jpg,7490.jpg,2635.jpg,yes,no,no,no,no,no,1953589,1956800,1957050,1960971
41,cs8.bmp,yes,no,no,9530.JPG,9330.jpg,9430.JPG,9415.jpg,9265.jpg,2750.jpg,yes,no,no,no,no,no,1961927,1963790,1964040,1967111
41,cs28.bmp,no,no,yes,1616.jpg,1935.jpg,7820.jpg,2575.jpg,4631.JPG,7187.jpg,yes,no,no,no,no,no,1968053,1969777,1970027,1973879
41,cs24.bmp,no,yes,no,2216.jpg,2345.jpg,2091.jpg,2340.JPG,2080.jpg,7330.JPG,no,no,yes,no,no,no,1974830,1976621,1976871,1984670
41,cs21.bmp,no,yes,no,6311.jpg,9611.jpg,2276.jpg,2455.jpg,2900.1.jpg,9331.jpg,no,no,yes,no,no,no,1985630,1987817,1988067,1991671
41,cs5.bmp,yes,no,no,7502.jpg,2050.jpg,5831.jpg,2341.jpg,2057.jpg,2150.JPG,no,no,yes,no,no,no,1992619,1993924,1994174,1997768
41,cs2.bmp,yes,no,no,7502.jpg,5831.jpg,2080.jpg,8540.JPG,2071.jpg,2070.jpg,yes,no,no,no,no,no,1998712,2001012,2001262,2006673
41,cs10.bmp,no,no,yes,7830.jpg,7490.jpg,7187.jpg,7620.JPG,7550.jpg,1935.jpg,no,yes,no,no,no,no,2007620,2008993,2009243,2012561
41,cs16.bmp,no,no,yes,2150.JPG,5910.JPG,8461.jpg,2209.jpg,2260.JPG,2040.jpg,no,yes,no,no,no,no,2013516,2017896,2018146,2019737
41,cs11.bmp,yes,no,no,3550.2.jpg,2635.jpg,5455.jpg,7187.jpg,7000.jpg,7504.jpg,no,no,yes,no,no,no,2020692,2022707,2022957,2026801
