subject_nr,PAS,blocknr,trialnr,cs_filename,usval,type,cs_kategorie,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,visopt_15,visopt_14,visopt_13,visopt_12,visopt_11,visopt_10,visopt_9,visopt_8,visopt_7,visopt_6,visopt_5,visopt_4,visopt_3,visopt_2,visopt_1,visopt_15_resp,visopt_14_resp,visopt_13_resp,visopt_12_resp,visopt_11_resp,visopt_10_resp,visopt_9_resp,visopt_8_resp,visopt_7_resp,visopt_6_resp,visopt_5_resp,visopt_4_resp,visopt_3_resp,visopt_2_resp,visopt_1_resp,sicher1_resp,sicher2_resp,sicher3_resp,sicher4_resp,time_gesehen_form,time_sicher_form,time_trial_logger,csdur_A_prod,csdur_A_face,csdur_A_nonw,csdur_B_prod,csdur_B_face,csdur_B_nonw,csdur_C_prod,csdur_C_face,csdur_C_nonw,subjresp_A_prod_1,subjresp_A_prod_2,subjresp_A_prod_3,subjresp_A_prod_4,subjresp_A_face_1,subjresp_A_face_2,subjresp_A_face_3,subjresp_A_face_4,subjresp_A_nonw_1,subjresp_A_nonw_2,subjresp_A_nonw_3,subjresp_A_nonw_4,subjresp_B_prod_1,subjresp_B_prod_2,subjresp_B_prod_3,subjresp_B_prod_4,subjresp_B_face_1,subjresp_B_face_2,subjresp_B_face_3,subjresp_B_face_4,subjresp_B_nonw_1,subjresp_B_nonw_2,subjresp_B_nonw_3,subjresp_B_nonw_4,subjresp_C_prod_1,subjresp_C_prod_2,subjresp_C_prod_3,subjresp_C_prod_4,subjresp_C_face_1,subjresp_C_face_2,subjresp_C_face_3,subjresp_C_face_4,subjresp_C_nonw_1,subjresp_C_nonw_2,subjresp_C_nonw_3,subjresp_C_nonw_4
1,1,7,362,cs29.bmp,neg,product,B,20,9342.jpg,1000,maske_4.bmp,500,maske_3.bmp,980,cs2.bmp,cs13.bmp,cs24.bmp,cs4.bmp,cs29.bmp,Mneu24_.bmp,W04.bmp,Mneu05_.bmp,M18.bmp,Mneu11_.bmp,nw16.bmp,nw25.bmp,nw21.bmp,nw10.bmp,nw7.bmp,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,3044422,3045332,3046155,10,10,10,20,20,10,110,110,150,4,1,0,0,3,0,0,0,4,0,0,0,5,0,0,0,3,0,0,0,4,1,0,0,1,0,0,3,1,0,0,4,0,0,1,4
1,1,7,363,cs15.bmp,neg,product,C,110,2205.jpg,1000,maske_11.bmp,500,maske_5.bmp,890,cs10.bmp,cs28.bmp,cs7.bmp,cs9.bmp,cs15.bmp,nw22.bmp,nw1.bmp,nw3.bmp,nw12.bmp,nw17.bmp,W07.bmp,M07.bmp,M02_.bmp,Mneu18_.bmp,M14.bmp,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,3048642,3050054,3051181,10,10,10,20,20,10,110,110,150,4,1,0,0,3,0,0,0,4,0,0,0,5,0,0,0,3,0,0,0,4,1,0,0,1,0,0,4,1,0,0,4,0,0,1,4
1,1,7,364,nw21.bmp,neg,nonword,B,10,9265.jpg,1000,maske_2.bmp,500,maske_11.bmp,990,cs2.bmp,cs13.bmp,cs4.bmp,cs29.bmp,cs24.bmp,nw25.bmp,nw7.bmp,nw16.bmp,nw10.bmp,nw21.bmp,M18.bmp,Mneu05_.bmp,W04.bmp,Mneu11_.bmp,Mneu24_.bmp,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,3053672,3054942,3055782,10,10,10,20,20,10,110,110,150,4,1,0,0,3,0,0,0,4,0,0,0,5,0,0,0,3,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,4
1,1,7,365,nw19.bmp,pos,nonword,A,10,2345.jpg,1000,maske_7.bmp,500,maske_12.bmp,990,W19.bmp,Mneu04_.bmp,Wneu01_.bmp,M13.bmp,Mneu01_.bmp,nw19.bmp,nw27.bmp,nw4.bmp,nw14.bmp,nw15.bmp,cs18.bmp,cs19.bmp,cs3.bmp,cs8.bmp,cs5.bmp,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,3058282,3059161,3060235,10,10,10,20,20,10,110,110,150,4,1,0,0,3,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,4
1,1,7,366,Wneu01_.bmp,pos,face,A,10,8461.jpg,1000,maske_1.bmp,500,maske_12.bmp,990,cs3.bmp,cs18.bmp,cs19.bmp,cs5.bmp,cs8.bmp,nw14.bmp,nw15.bmp,nw4.bmp,nw19.bmp,nw27.bmp,W19.bmp,M13.bmp,Mneu01_.bmp,Mneu04_.bmp,Wneu01_.bmp,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,3062722,3063560,3064393,10,10,10,20,20,10,110,110,150,4,1,0,0,4,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,4
1,1,7,367,W12.bmp,neg,face,A,10,9520.JPG,1000,maske_10.bmp,500,maske_3.bmp,990,cs17.bmp,cs16.bmp,cs20.bmp,cs11.bmp,cs1.bmp,Mneu20_.bmp,W12.bmp,M16_.bmp,W20.bmp,Mneu25_.bmp,nw13.bmp,nw2.bmp,nw9.bmp,nw5.bmp,nw29.bmp,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,3066892,3067954,3068831,10,10,10,20,20,10,110,110,150,4,1,0,0,5,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,4
1,1,7,368,nw5.bmp,neg,nonword,A,10,9007.jpg,1000,maske_7.bmp,500,maske_5.bmp,990,nw13.bmp,nw29.bmp,nw2.bmp,nw9.bmp,nw5.bmp,Mneu20_.bmp,W20.bmp,Mneu25_.bmp,M16_.bmp,W12.bmp,cs16.bmp,cs11.bmp,cs20.bmp,cs17.bmp,cs1.bmp,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,3071341,3072170,3073114,10,10,10,20,20,10,110,110,150,4,1,0,0,5,0,0,0,6,0,0,0,5,0,0,0,3,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,4
1,1,7,369,cs13.bmp,neg,product,B,20,3181.jpg,1000,maske_7.bmp,500,maske_5.bmp,980,nw10.bmp,nw7.bmp,nw16.bmp,nw25.bmp,nw21.bmp,Mneu11_.bmp,Mneu05_.bmp,Mneu24_.bmp,W04.bmp,M18.bmp,cs24.bmp,cs4.bmp,cs13.bmp,cs29.bmp,cs2.bmp,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,3075612,3076643,3078296,10,10,10,20,20,10,110,110,150,4,1,0,0,5,0,0,0,6,0,0,0,6,0,0,0,3,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,4
1,1,7,370,nw28.bmp,pos,nonword,C,150,7330.JPG,1000,maske_12.bmp,500,maske_9.bmp,850,cs26.bmp,cs21.bmp,cs14.bmp,cs25.bmp,cs12.bmp,nw28.bmp,nw8.bmp,nw18.bmp,nw6.bmp,nw30.bmp,Wneu05_.bmp,Wneu03_.bmp,Wneu02_.bmp,M12.bmp,W17.bmp,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,3080792,3082459,3083330,10,10,10,20,20,10,110,110,150,4,1,0,0,5,0,0,0,6,0,0,0,6,0,0,0,3,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,5
1,1,7,371,Mneu24_.bmp,neg,face,B,20,7359.jpg,1000,maske_12.bmp,500,maske_1.bmp,980,cs4.bmp,cs2.bmp,cs29.bmp,cs13.bmp,cs24.bmp,nw10.bmp,nw21.bmp,nw7.bmp,nw16.bmp,nw25.bmp,W04.bmp,M18.bmp,Mneu24_.bmp,Mneu05_.bmp,Mneu11_.bmp,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,3085841,3086658,3087412,10,10,10,20,20,10,110,110,150,4,1,0,0,5,0,0,0,6,0,0,0,6,0,0,0,4,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,5
